bag_id,batch_id
bag_0018,batch_05 batch_14 batch_05 batch_14 batch_14 batch_05 batch_14 batch_05 batch_14 batch_05 batch_05 batch_05 batch_14 batch_05 batch_05 batch_05 batch_05 batch_05 batch_14 batch_14 batch_14
bag_0019,batch_19 batch_14 batch_14 batch_19 batch_01 batch_33 batch_19 batch_01 batch_01 batch_01 batch_33 batch_01 batch_33 batch_14 batch_01 batch_33 batch_14 batch_01 batch_33 batch_33 batch_14 batch_33 batch_33 batch_19 batch_14 batch_33 batch_19 batch_14 batch_19 batch_14 batch_01 batch_01 batch_14 batch_19 batch_14 batch_33 batch_33 batch_14 batch_14 batch_33 batch_19
bag_0020,batch_28 batch_31 batch_08 batch_31 batch_08 batch_08 batch_08 batch_28 batch_28 batch_28 batch_08 batch_31 batch_08 batch_31 batch_08 batch_08 batch_28 batch_31 batch_08 batch_08 batch_08 batch_31 batch_08 batch_28 batch_31 batch_08 batch_31 batch_28 batch_28 batch_28
bag_0021,batch_16 batch_07 batch_17 batch_16 batch_16 batch_17 batch_14 batch_17 batch_17 batch_07 batch_14 batch_14 batch_14 batch_17 batch_16 batch_16 batch_16 batch_14 batch_16 batch_17 batch_16 batch_14 batch_16 batch_17 batch_07 batch_17 batch_16 batch_16 batch_07 batch_17 batch_17 batch_07 batch_14 batch_17 batch_14 batch_07 batch_14 batch_16 batch_17 batch_07 batch_07 batch_17 batch_07 batch_16 batch_07 batch_07 batch_07 batch_07 batch_07 batch_17
bag_0022,batch_14 batch_07 batch_14 batch_17 batch_29 batch_07 batch_17 batch_14 batch_07 batch_29 batch_29 batch_29 batch_07 batch_29 batch_07 batch_07 batch_07 batch_17 batch_14 batch_14 batch_07 batch_29 batch_17 batch_14 batch_07 batch_17 batch_14 batch_17 batch_07 batch_29 batch_07 batch_07 batch_17 batch_14 batch_17 batch_29 batch_14
bag_0023,batch_13 batch_17 batch_17 batch_13 batch_13 batch_13 batch_17 batch_13 batch_17 batch_17 batch_13 batch_13 batch_17 batch_17 batch_13 batch_17 batch_17 batch_13 batch_17 batch_13 batch_13 batch_13 batch_17 batch_17 batch_13
bag_0024,batch_05 batch_13 batch_05 batch_13 batch_13 batch_19 batch_16 batch_13 batch_13 batch_16 batch_19 batch_16 batch_19 batch_13 batch_05 batch_16 batch_16 batch_05 batch_19 batch_16 batch_13 batch_05 batch_05 batch_05 batch_19 batch_19 batch_13 batch_05 batch_16 batch_05 batch_19 batch_13 batch_13 batch_05 batch_13 batch_05 batch_19 batch_16 batch_13 batch_05 batch_19 batch_13 batch_13
bag_0025,batch_29 batch_19 batch_29 batch_29 batch_01 batch_19 batch_19 batch_29 batch_29 batch_29 batch_29 batch_01 batch_01 batch_19 batch_01 batch_01 batch_29 batch_01 batch_29 batch_19 batch_29 batch_19 batch_19 batch_19 batch_19 batch_19 batch_19 batch_29 batch_01 batch_29 batch_19 batch_19 batch_19 batch_01
bag_0026,batch_19 batch_13 batch_13 batch_19 batch_13 batch_19 batch_13 batch_13 batch_13 batch_13 batch_19 batch_19 batch_19 batch_19 batch_13 batch_13 batch_13 batch_19 batch_19
bag_0027,batch_29 batch_13 batch_29 batch_19 batch_29 batch_13 batch_29 batch_19 batch_13 batch_19 batch_14 batch_14 batch_19 batch_14 batch_14 batch_13 batch_13 batch_19 batch_29 batch_13 batch_19 batch_13 batch_19 batch_29 batch_19 batch_19 batch_19 batch_14 batch_29 batch_13 batch_29 batch_14 batch_19 batch_14 batch_14 batch_13 batch_19 batch_29 batch_13 batch_19
bag_0028,batch_16 batch_16 batch_16 batch_14 batch_14 batch_32 batch_32 batch_32 batch_14 batch_32 batch_14 batch_32 batch_16 batch_16 batch_16 batch_14 batch_32 batch_14 batch_16 batch_14 batch_32 batch_14 batch_16 batch_14 batch_32 batch_14 batch_16 batch_14
bag_0029,batch_05 batch_31 batch_31 batch_17 batch_05 batch_05 batch_31 batch_08 batch_08 batch_05 batch_31 batch_08 batch_31 batch_08 batch_05 batch_08 batch_31 batch_08 batch_17 batch_31 batch_05 batch_05 batch_05 batch_17 batch_17 batch_08 batch_05 batch_31 batch_05 batch_31 batch_08 batch_08 batch_17 batch_08 batch_17 batch_08 batch_31 batch_17 batch_05 batch_31 batch_31 batch_05 batch_08 batch_17 batch_17 batch_08
bag_0030,batch_28 batch_28 batch_11 batch_28 batch_08 batch_08 batch_08 batch_08 batch_08 batch_28 batch_28 batch_28 batch_08 batch_11 batch_11 batch_28 batch_08 batch_11 batch_28 batch_11 batch_28 batch_11 batch_11 batch_08 batch_28 batch_08 batch_11 batch_11 batch_08 batch_28 batch_28 batch_08 batch_11 batch_28 batch_08 batch_11
bag_0031,batch_16 batch_11 batch_11 batch_11 batch_11 batch_11 batch_11 batch_11 batch_16 batch_16 batch_11 batch_11 batch_16 batch_16 batch_11 batch_16 batch_11 batch_11 batch_11 batch_16 batch_16 batch_11
bag_0032,batch_33 batch_07 batch_13 batch_07 batch_29 batch_13 batch_13 batch_29 batch_07 batch_29 batch_33 batch_29 batch_07 batch_29 batch_33 batch_07 batch_33 batch_13 batch_13 batch_13 batch_29 batch_33 batch_07 batch_29 batch_13 batch_07 batch_33 batch_07 batch_33 batch_07 batch_33 batch_33 batch_07 batch_29 batch_07 batch_13 batch_13 batch_33 batch_13 batch_13 batch_07 batch_13
bag_0033,batch_11 batch_11 batch_30 batch_17 batch_30 batch_30 batch_11 batch_30 batch_11 batch_17 batch_11 batch_17 batch_17 batch_30 batch_30 batch_11 batch_17 batch_30 batch_30 batch_17 batch_30 batch_17 batch_11 batch_11 batch_11 batch_17 batch_11 batch_30 batch_30 batch_11 batch_30
bag_0034,batch_01 batch_01 batch_01 batch_01 batch_32 batch_32 batch_32 batch_01 batch_01 batch_01 batch_32 batch_01 batch_32 batch_32 batch_01 batch_32 batch_32
bag_0035,batch_16 batch_19 batch_19 batch_14 batch_14 batch_14 batch_19 batch_14 batch_16 batch_16 batch_16 batch_16 batch_30 batch_30 batch_14 batch_30 batch_16 batch_30 batch_14 batch_19 batch_30 batch_19 batch_14 batch_16 batch_19 batch_30 batch_30 batch_19 batch_16 batch_30 batch_14 batch_30 batch_19 batch_19 batch_30 batch_16 batch_19 batch_30
bag_0036,batch_05 batch_29 batch_29 batch_05 batch_29 batch_29 batch_05 batch_05 batch_05 batch_05 batch_05 batch_05 batch_29 batch_05 batch_29 batch_29 batch_05 batch_29 batch_29 batch_05 batch_05 batch_05 batch_05 batch_29 batch_29 batch_29 batch_29
bag_0037,batch_32 batch_32 batch_28 batch_14 batch_32 batch_32 batch_16 batch_14 batch_32 batch_14 batch_28 batch_16 batch_16 batch_16 batch_28 batch_32 batch_28 batch_28 batch_32 batch_14 batch_32 batch_14 batch_32 batch_28 batch_16 batch_14 batch_28 batch_32 batch_14 batch_14 batch_16 batch_28 batch_16 batch_14 batch_28 batch_16 batch_14 batch_32 batch_32 batch_32 batch_16 batch_28 batch_16 batch_16
bag_0038,batch_28 batch_11 batch_08 batch_08 batch_11 batch_11 batch_11 batch_08 batch_28 batch_08 batch_08 batch_11 batch_08 batch_11 batch_28 batch_28 batch_28 batch_28 batch_28 batch_28 batch_11 batch_08 batch_08 batch_08 batch_11 batch_11 batch_11 batch_08 batch_28 batch_08 batch_28 batch_28 batch_08 batch_28 batch_11
bag_0039,batch_13 batch_08 batch_13 batch_08 batch_08 batch_08 batch_08 batch_13 batch_08 batch_13 batch_13 batch_13 batch_08 batch_08 batch_08 batch_13 batch_08 batch_08 batch_13 batch_08
bag_0040,batch_33 batch_33 batch_14 batch_08 batch_08 batch_08 batch_31 batch_31 batch_31 batch_33 batch_14 batch_33 batch_31 batch_08 batch_14 batch_33 batch_31 batch_31 batch_14 batch_33 batch_14 batch_31 batch_33 batch_31 batch_14 batch_31 batch_31 batch_08 batch_08 batch_14 batch_08 batch_33 batch_14 batch_08 batch_33 batch_14 batch_08 batch_33 batch_31 batch_33 batch_31
bag_0041,batch_29 batch_29 batch_16 batch_05 batch_05 batch_29 batch_16 batch_05 batch_16 batch_16 batch_05 batch_05 batch_16 batch_29 batch_29 batch_16 batch_29 batch_29 batch_05 batch_29 batch_16 batch_16 batch_05 batch_16 batch_16 batch_16 batch_16 batch_16 batch_16 batch_05
bag_0042,batch_33 batch_19 batch_32 batch_32 batch_30 batch_32 batch_33 batch_33 batch_33 batch_33 batch_32 batch_19 batch_19 batch_30 batch_32 batch_32 batch_19 batch_19 batch_32 batch_32 batch_32 batch_33 batch_19 batch_32 batch_19 batch_33 batch_19 batch_33 batch_19 batch_19 batch_32 batch_33 batch_19 batch_30 batch_33 batch_30 batch_30 batch_19 batch_33 batch_30 batch_33 batch_19 batch_30 batch_32 batch_33 batch_33 batch_19 batch_30 batch_32
bag_0043,batch_29 batch_01 batch_01 batch_01 batch_31 batch_29 batch_31 batch_29 batch_29 batch_31 batch_01 batch_01 batch_01 batch_31 batch_29 batch_29 batch_31 batch_01 batch_29 batch_01 batch_31 batch_29 batch_31 batch_01 batch_01 batch_01 batch_29 batch_31 batch_31 batch_29 batch_31 batch_31 batch_29 batch_01 batch_31 batch_29 batch_31 batch_01 batch_31 batch_29
bag_0044,batch_30 batch_32 batch_30 batch_30 batch_32 batch_32 batch_30 batch_32 batch_30 batch_30 batch_32 batch_30 batch_32 batch_32 batch_32 batch_30 batch_30 batch_32 batch_32 batch_32 batch_30 batch_30 batch_30 batch_30 batch_32
bag_0045,batch_31 batch_07 batch_28 batch_31 batch_31 batch_07 batch_33 batch_28 batch_33 batch_33 batch_07 batch_31 batch_33 batch_33 batch_31 batch_28 batch_28 batch_28 batch_28 batch_31 batch_33 batch_33 batch_31 batch_07 batch_07 batch_31 batch_33 batch_28 batch_33 batch_33 batch_33 batch_31 batch_31 batch_33 batch_07 batch_07 batch_31 batch_07 batch_28 batch_31 batch_31 batch_28 batch_31
bag_0046,batch_31 batch_31 batch_08 batch_31 batch_31 batch_31 batch_08 batch_31 batch_31 batch_30 batch_30 batch_31 batch_08 batch_08 batch_31 batch_30 batch_31 batch_08 batch_08 batch_30 batch_31 batch_30 batch_08 batch_08 batch_30 batch_31 batch_08 batch_31 batch_30 batch_31 batch_30 batch_30 batch_30
bag_0047,batch_11 batch_19 batch_19 batch_11 batch_19 batch_11 batch_19 batch_11 batch_11 batch_19 batch_11 batch_11 batch_11 batch_19 batch_19 batch_19 batch_19 batch_11
bag_0048,batch_07 batch_19 batch_07 batch_32 batch_05 batch_32 batch_32 batch_05 batch_07 batch_19 batch_07 batch_07 batch_07 batch_32 batch_05 batch_19 batch_05 batch_19 batch_19 batch_05 batch_05 batch_05 batch_05 batch_32 batch_07 batch_32 batch_05 batch_07 batch_07 batch_05 batch_32 batch_32 batch_19 batch_32 batch_05 batch_05 batch_19 batch_07 batch_19
bag_0049,batch_05 batch_16 batch_16 batch_05 batch_05 batch_16 batch_16 batch_05 batch_16 batch_16 batch_05 batch_16 batch_16 batch_05 batch_16 batch_16 batch_05 batch_16 batch_16 batch_05 batch_05 batch_05 batch_05 batch_05 batch_16 batch_05 batch_05 batch_16
bag_0050,batch_16 batch_01 batch_16 batch_17 batch_01 batch_08 batch_17 batch_01 batch_01 batch_01 batch_16 batch_08 batch_08 batch_17 batch_16 batch_08 batch_17 batch_16 batch_08 batch_16 batch_08 batch_17 batch_17 batch_08 batch_16 batch_16 batch_01 batch_08 batch_01 batch_01 batch_17 batch_01 batch_17 batch_01 batch_08 batch_16 batch_08 batch_01 batch_08 batch_16 batch_16 batch_01 batch_08 batch_16 batch_08 batch_08
bag_0051,batch_33 batch_33 batch_11 batch_11 batch_11 batch_33 batch_33 batch_11 batch_07 batch_11 batch_07 batch_07 batch_11 batch_07 batch_33 batch_33 batch_33 batch_11 batch_11 batch_11 batch_33 batch_07 batch_33 batch_11 batch_33 batch_33 batch_11 batch_33 batch_11 batch_33 batch_07 batch_11 batch_07 batch_07 batch_07
bag_0052,batch_30 batch_30 batch_30 batch_31 batch_31 batch_30 batch_31 batch_30 batch_31 batch_31 batch_30 batch_31 batch_30 batch_30 batch_31 batch_31 batch_30 batch_30 batch_30 batch_31 batch_31 batch_30
bag_0053,batch_30 batch_30 batch_31 batch_07 batch_30 batch_30 batch_17 batch_30 batch_31 batch_07 batch_30 batch_17 batch_07 batch_07 batch_30 batch_07 batch_07 batch_30 batch_31 batch_07 batch_30 batch_17 batch_07 batch_30 batch_17 batch_07 batch_30 batch_31 batch_17 batch_31 batch_31 batch_30 batch_31 batch_17 batch_30 batch_31 batch_07 batch_17 batch_31 batch_31 batch_17 batch_30
bag_0054,batch_05 batch_31 batch_31 batch_13 batch_13 batch_05 batch_13 batch_13 batch_05 batch_31 batch_05 batch_05 batch_05 batch_31 batch_31 batch_31 batch_31 batch_31 batch_05 batch_31 batch_31 batch_13 batch_13 batch_31 batch_13 batch_13 batch_31 batch_05 batch_13 batch_31
bag_0055,batch_13 batch_17 batch_13 batch_13 batch_17 batch_17 batch_13 batch_31 batch_17 batch_17 batch_05 batch_05 batch_31 batch_05 batch_17 batch_31 batch_31 batch_13 batch_17 batch_17 batch_31 batch_13 batch_13 batch_05 batch_13 batch_31 batch_05 batch_05 batch_13 batch_31 batch_13 batch_17 batch_17 batch_13 batch_17 batch_17 batch_05 batch_31 batch_05 batch_05 batch_31 batch_31 batch_05 batch_05 batch_05 batch_31 batch_31 batch_17 batch_31 batch_17
bag_0056,batch_16 batch_07 batch_07 batch_07 batch_01 batch_16 batch_07 batch_19 batch_07 batch_01 batch_16 batch_19 batch_19 batch_07 batch_19 batch_07 batch_07 batch_16 batch_19 batch_16 batch_16 batch_01 batch_16 batch_07 batch_01 batch_16 batch_19 batch_01 batch_19 batch_07 batch_19 batch_16 batch_07 batch_01 batch_16 batch_01 batch_01
bag_0057,batch_13 batch_13 batch_13 batch_32 batch_32 batch_32 batch_32 batch_13 batch_13 batch_32 batch_32 batch_32 batch_32 batch_32 batch_32 batch_13 batch_32 batch_32 batch_13 batch_32 batch_13 batch_13 batch_32 batch_13 batch_13
bag_0058,batch_11 batch_11 batch_32 batch_32 batch_11 batch_31 batch_32 batch_32 batch_31 batch_31 batch_31 batch_31 batch_11 batch_30 batch_32 batch_32 batch_30 batch_32 batch_30 batch_30 batch_11 batch_11 batch_30 batch_31 batch_32 batch_11 batch_31 batch_11 batch_31 batch_30 batch_30 batch_31 batch_31 batch_32 batch_11 batch_32 batch_32 batch_30 batch_31 batch_32 batch_32 batch_32 batch_31
bag_0059,batch_29 batch_08 batch_28 batch_08 batch_08 batch_28 batch_29 batch_29 batch_08 batch_28 batch_08 batch_08 batch_29 batch_28 batch_28 batch_28 batch_28 batch_08 batch_29 batch_29 batch_08 batch_29 batch_08 batch_28 batch_28 batch_08 batch_08 batch_08 batch_28 batch_28 batch_29 batch_28 batch_29 batch_08
bag_0060,batch_05 batch_05 batch_01 batch_01 batch_01 batch_05 batch_01 batch_01 batch_05 batch_05 batch_05 batch_01 batch_01 batch_01 batch_01 batch_01 batch_05 batch_01 batch_05
bag_0061,batch_01 batch_19 batch_11 batch_08 batch_11 batch_19 batch_19 batch_08 batch_01 batch_11 batch_08 batch_19 batch_08 batch_11 batch_11 batch_08 batch_11 batch_08 batch_01 batch_01 batch_08 batch_08 batch_08 batch_19 batch_11 batch_11 batch_08 batch_08 batch_01 batch_11 batch_01 batch_11 batch_08 batch_19 batch_01 batch_11 batch_19 batch_19 batch_01 batch_08 batch_11
bag_0062,batch_11 batch_14 batch_14 batch_28 batch_28 batch_11 batch_11 batch_14 batch_14 batch_11 batch_14 batch_11 batch_14 batch_28 batch_14 batch_11 batch_28 batch_11 batch_14 batch_28 batch_11 batch_11 batch_28 batch_11 batch_14 batch_28 batch_11 batch_28 batch_28
bag_0063,batch_11 batch_11 batch_11 batch_30 batch_30 batch_13 batch_13 batch_30 batch_11 batch_19 batch_19 batch_30 batch_13 batch_11 batch_30 batch_30 batch_11 batch_13 batch_11 batch_11 batch_19 batch_13 batch_19 batch_30 batch_13 batch_30 batch_19 batch_11 batch_30 batch_19 batch_19 batch_30 batch_19 batch_11 batch_11 batch_13 batch_13 batch_13 batch_19 batch_13 batch_30 batch_30 batch_19 batch_30 batch_13 batch_13 batch_13
bag_0064,batch_05 batch_14 batch_05 batch_14 batch_05 batch_14 batch_32 batch_14 batch_32 batch_32 batch_32 batch_32 batch_05 batch_05 batch_32 batch_05 batch_14 batch_32 batch_32 batch_05 batch_05 batch_32 batch_14 batch_32 batch_14 batch_14 batch_32 batch_32 batch_14 batch_14 batch_05 batch_14 batch_14 batch_05 batch_05 batch_14
bag_0065,batch_33 batch_05 batch_05 batch_33 batch_33 batch_33 batch_33 batch_33 batch_33 batch_05 batch_33 batch_33 batch_05 batch_05 batch_05 batch_05 batch_05 batch_33 batch_33 batch_33 batch_33 batch_05
bag_0066,batch_07 batch_28 batch_28 batch_01 batch_05 batch_01 batch_01 batch_28 batch_28 batch_28 batch_05 batch_07 batch_28 batch_28 batch_07 batch_01 batch_28 batch_05 batch_07 batch_01 batch_05 batch_05 batch_05 batch_07 batch_01 batch_05 batch_07 batch_28 batch_05 batch_01 batch_05 batch_05 batch_05 batch_01 batch_07 batch_01 batch_07 batch_01 batch_07 batch_28 batch_28 batch_28
bag_0067,batch_08 batch_08 batch_17 batch_19 batch_19 batch_19 batch_19 batch_19 batch_08 batch_17 batch_19 batch_19 batch_17 batch_08 batch_08 batch_08 batch_17 batch_17 batch_19 batch_17 batch_08 batch_19 batch_08 batch_08 batch_17 batch_08 batch_19 batch_19 batch_08 batch_17 batch_17 batch_08
bag_0068,batch_33 batch_19 batch_33 batch_33 batch_19 batch_33 batch_33 batch_19 batch_19 batch_19 batch_33 batch_33 batch_19 batch_19 batch_33 batch_19 batch_19
bag_0069,batch_13 batch_07 batch_05 batch_13 batch_07 batch_05 batch_07 batch_28 batch_07 batch_07 batch_13 batch_05 batch_07 batch_07 batch_13 batch_07 batch_28 batch_13 batch_07 batch_28 batch_05 batch_13 batch_05 batch_28 batch_07 batch_05 batch_28 batch_13 batch_13 batch_28 batch_05 batch_07 batch_05 batch_28 batch_28 batch_13 batch_28 batch_28
bag_0070,batch_11 batch_30 batch_11 batch_11 batch_30 batch_30 batch_11 batch_11 batch_11 batch_11 batch_11 batch_30 batch_30 batch_11 batch_11 batch_30 batch_30 batch_30 batch_30 batch_30 batch_11 batch_30 batch_11 batch_30 batch_11 batch_30 batch_30
bag_0071,batch_32 batch_33 batch_19 batch_32 batch_17 batch_32 batch_32 batch_19 batch_19 batch_33 batch_19 batch_33 batch_17 batch_17 batch_33 batch_19 batch_32 batch_17 batch_33 batch_19 batch_19 batch_33 batch_33 batch_32 batch_19 batch_17 batch_32 batch_33 batch_17 batch_19 batch_33 batch_17 batch_19 batch_32 batch_17 batch_19 batch_33 batch_17 batch_32 batch_19 batch_19 batch_33 batch_19 batch_33
bag_0072,batch_11 batch_16 batch_19 batch_16 batch_11 batch_19 batch_19 batch_16 batch_16 batch_11 batch_19 batch_19 batch_11 batch_16 batch_16 batch_11 batch_16 batch_16 batch_16 batch_19 batch_11 batch_16 batch_19 batch_19 batch_11 batch_19 batch_19 batch_16 batch_11 batch_11 batch_19 batch_19 batch_11 batch_16 batch_16
bag_0073,batch_29 batch_29 batch_29 batch_11 batch_29 batch_11 batch_29 batch_11 batch_11 batch_11 batch_29 batch_29 batch_11 batch_29 batch_29 batch_11 batch_29 batch_11 batch_11 batch_11
bag_0074,batch_05 batch_05 batch_16 batch_33 batch_33 batch_19 batch_33 batch_16 batch_33 batch_19 batch_05 batch_19 batch_19 batch_05 batch_33 batch_16 batch_33 batch_16 batch_16 batch_19 batch_19 batch_33 batch_16 batch_33 batch_05 batch_05 batch_05 batch_16 batch_05 batch_19 batch_19 batch_19 batch_05 batch_33 batch_19 batch_33 batch_19 batch_05 batch_16 batch_19 batch_05
bag_0075,batch_08 batch_01 batch_05 batch_05 batch_08 batch_08 batch_05 batch_01 batch_05 batch_08 batch_01 batch_08 batch_01 batch_08 batch_08 batch_05 batch_01 batch_01 batch_08 batch_08 batch_05 batch_01 batch_05 batch_01 batch_08 batch_05 batch_01 batch_05 batch_01 batch_05
bag_0076,batch_30 batch_32 batch_31 batch_31 batch_31 batch_32 batch_30 batch_31 batch_30 batch_32 batch_29 batch_32 batch_31 batch_32 batch_29 batch_31 batch_32 batch_29 batch_32 batch_32 batch_29 batch_31 batch_29 batch_29 batch_32 batch_29 batch_30 batch_32 batch_29 batch_30 batch_31 batch_30 batch_29 batch_31 batch_29 batch_30 batch_30 batch_30 batch_30 batch_31 batch_29 batch_32 batch_32 batch_31 batch_29 batch_32 batch_31 batch_29 batch_31 batch_31
bag_0077,batch_11 batch_16 batch_28 batch_16 batch_11 batch_16 batch_16 batch_16 batch_14 batch_11 batch_14 batch_11 batch_28 batch_16 batch_28 batch_11 batch_14 batch_11 batch_28 batch_16 batch_11 batch_16 batch_11 batch_14 batch_14 batch_16 batch_28 batch_28 batch_28 batch_14 batch_14 batch_28 batch_14
bag_0078,batch_32 batch_31 batch_32 batch_31 batch_31 batch_32 batch_31 batch_32 batch_31 batch_31 batch_31 batch_31 batch_31 batch_32 batch_32 batch_32 batch_31 batch_32 batch_31 batch_32 batch_32 batch_31 batch_32 batch_32 batch_32
bag_0079,batch_29 batch_08 batch_33 batch_08 batch_08 batch_33 batch_16 batch_16 batch_29 batch_16 batch_08 batch_08 batch_29 batch_16 batch_29 batch_16 batch_33 batch_29 batch_33 batch_16 batch_16 batch_08 batch_29 batch_29 batch_29 batch_16 batch_08 batch_08 batch_16 batch_16 batch_08 batch_33 batch_33 batch_08 batch_29 batch_16 batch_16 batch_33 batch_33 batch_33 batch_08 batch_16 batch_29
