line_id,canonical
L060040,ts=2025-02-14T03:38:00Z|dev=CMP-9916|site=SYD3|temp_c=10.1|pres_kpa=331.7|status=OK
L060041,ts=2025-04-04T03:25:00Z|dev=FAN-7592|site=IND7|temp_c=40.3|pres_kpa=787.1|status=OK
L060042,ts=2025-05-07T13:50:28Z|dev=FAN-9758|site=PAC8|temp_c=37.2|pres_kpa=767.8|status=OK
L060043,ts=2025-02-27T21:09:20Z|dev=VLV-7508|site=NZL1|temp_c=74.7|pres_kpa=112.8|status=WARN
L060044,ts=2025-02-01T17:57:51Z|dev=CMP-9939|site=CHL3|temp_c=83.4|pres_kpa=506.8|status=OK
L060045,ts=2025-04-05T23:00:31Z|dev=VLV-9843|site=ATH2|temp_c=91.9|pres_kpa=145.1|status=FAULT
L060046,ts=2025-05-22T01:35:10Z|dev=PMP-8509|site=HAW2|temp_c=2.5|pres_kpa=260.9|status=OK
L060047,ts=2025-05-01T03:59:00Z|dev=PMP-9121|site=BKK1|temp_c=46.8|pres_kpa=543.6|status=WARN
L060048,ts=2025-03-27T08:01:18Z|dev=CMP-9947|site=SEA2|temp_c=78.3|pres_kpa=125.7|status=OK
L060049,ts=2025-04-15T04:41:11Z|dev=CMP-7008|site=NZL1|temp_c=52.0|pres_kpa=547.1|status=OK
L060050,ts=2025-05-06T00:55:00Z|dev=CMP-8909|site=BKK1|temp_c=26.5|pres_kpa=720.6|status=OK
L060051,ts=2025-05-09T19:35:38Z|dev=PMP-7347|site=ICE1|temp_c=48.6|pres_kpa=718.2|status=OK
L060052,ts=2025-05-09T03:40:00Z|dev=FAN-8271|site=NE2|temp_c=78.1|pres_kpa=113.2|status=OK
L060053,ts=2025-05-04T02:00:23Z|dev=PMP-7512|site=TEX2|temp_c=63.8|pres_kpa=704.9|status=OK
L060054,ts=2025-04-01T11:48:55Z|dev=FAN-9683|site=CAI1|temp_c=93.1|pres_kpa=885.9|status=FAULT
L060055,ts=2025-02-11T10:12:44Z|dev=FAN-8739|site=UK1|temp_c=67.7|pres_kpa=150.6|status=OK
L060056,REJECT
L060057,ts=2025-03-03T21:39:50Z|dev=CMP-7023|site=IND7|temp_c=26.9|pres_kpa=159.4|status=FAULT
L060058,ts=2025-03-09T08:42:00Z|dev=PMP-8065|site=ICE1|temp_c=94.2|pres_kpa=801.5|status=OK
L060059,ts=2025-05-11T08:42:30Z|dev=VLV-8629|site=SYD3|temp_c=10.8|pres_kpa=134.1|status=OK
L060060,ts=2025-03-24T23:53:00Z|dev=PMP-7201|site=POL2|temp_c=24.9|pres_kpa=362.9|status=OK
L060061,ts=2025-04-16T17:41:25Z|dev=PMP-8083|site=BRZ2|temp_c=74.4|pres_kpa=322.4|status=OK
L060062,ts=2025-02-03T15:05:36Z|dev=PMP-7060|site=GER1|temp_c=37.9|pres_kpa=705.8|status=OK
L060063,ts=2025-02-16T03:31:00Z|dev=VLV-9481|site=SEA2|temp_c=11.8|pres_kpa=418.6|status=OK
L060064,ts=2025-02-22T01:08:00Z|dev=FAN-7983|site=ATL4|temp_c=87.6|pres_kpa=631.9|status=OK
L060065,ts=2025-05-09T17:55:00Z|dev=FAN-8817|site=BKK1|temp_c=94.0|pres_kpa=113.0|status=WARN
L060066,ts=2025-02-17T18:48:59Z|dev=FAN-9932|site=PER4|temp_c=27.2|pres_kpa=736.3|status=OK
L060067,ts=2025-05-22T03:38:14Z|dev=FAN-8245|site=ANC1|temp_c=-1.0|pres_kpa=517.8|status=FAULT
L060068,ts=2025-04-02T15:38:00Z|dev=CMP-7607|site=ATH2|temp_c=56.1|pres_kpa=263.0|status=OK
L060069,ts=2025-05-03T11:53:54Z|dev=FAN-8847|site=BKK1|temp_c=94.7|pres_kpa=842.4|status=OK
L060070,ts=2025-05-01T03:25:00Z|dev=CMP-9562|site=SEA2|temp_c=58.7|pres_kpa=724.3|status=OK
L060071,ts=2025-02-16T16:50:57Z|dev=FAN-8316|site=FIN1|temp_c=20.4|pres_kpa=709.0|status=OK
L060072,ts=2025-02-26T07:54:08Z|dev=PMP-9084|site=ANC1|temp_c=38.4|pres_kpa=756.7|status=OK
L060073,ts=2025-05-02T23:32:17Z|dev=CMP-8540|site=PAC8|temp_c=59.5|pres_kpa=582.0|status=OK
L060074,ts=2025-05-19T15:54:44Z|dev=VLV-7430|site=NFL1|temp_c=30.9|pres_kpa=479.4|status=OK
L060075,ts=2025-05-13T01:15:00Z|dev=CMP-7169|site=BRZ2|temp_c=54.5|pres_kpa=242.6|status=OK
L060076,ts=2025-02-14T05:05:00Z|dev=CMP-8345|site=SYD3|temp_c=81.2|pres_kpa=94.2|status=FAULT
L060077,ts=2025-04-16T17:17:04Z|dev=VLV-9568|site=IND2|temp_c=31.8|pres_kpa=711.7|status=OK
L060078,ts=2025-02-21T04:12:11Z|dev=FAN-8670|site=IRL2|temp_c=50.6|pres_kpa=633.2|status=OK
L060079,ts=2025-05-20T10:23:00Z|dev=CMP-7743|site=TEX2|temp_c=-2.4|pres_kpa=739.3|status=OK
L060080,ts=2025-02-23T12:51:34Z|dev=PMP-9881|site=IND2|temp_c=25.0|pres_kpa=350.2|status=OK
L060081,ts=2025-02-19T08:49:44Z|dev=CMP-8859|site=TEX2|temp_c=30.8|pres_kpa=656.2|status=WARN
L060082,ts=2025-04-10T09:23:11Z|dev=VLV-7004|site=BKK1|temp_c=46.3|pres_kpa=426.9|status=FAULT
L060083,ts=2025-02-03T05:58:02Z|dev=FAN-7776|site=FRA3|temp_c=79.5|pres_kpa=243.8|status=WARN
L060084,ts=2025-03-15T21:08:00Z|dev=PMP-7113|site=GER1|temp_c=23.4|pres_kpa=442.9|status=OK
L060085,ts=2025-05-31T21:07:00Z|dev=PMP-7885|site=IND2|temp_c=49.2|pres_kpa=242.2|status=OK
L060086,ts=2025-05-31T06:37:00Z|dev=PMP-9652|site=SYD3|temp_c=73.4|pres_kpa=325.4|status=OK
L060087,ts=2025-03-10T13:52:00Z|dev=CMP-8473|site=NE2|temp_c=13.9|pres_kpa=670.7|status=OK
L060088,ts=2025-04-05T17:36:33Z|dev=PMP-7740|site=MID9|temp_c=12.8|pres_kpa=602.2|status=OK
L060089,ts=2025-02-19T23:36:37Z|dev=PMP-7450|site=IND7|temp_c=6.8|pres_kpa=109.8|status=OK
L060090,ts=2025-02-03T22:59:00Z|dev=VLV-9644|site=BRZ2|temp_c=71.0|pres_kpa=740.3|status=OK
L060091,ts=2025-04-08T11:45:57Z|dev=PMP-7065|site=POL2|temp_c=44.1|pres_kpa=786.1|status=FAULT
L060092,ts=2025-05-25T09:34:23Z|dev=CMP-9198|site=DEN3|temp_c=89.4|pres_kpa=403.2|status=OK
L060093,ts=2025-03-30T08:38:43Z|dev=PMP-9190|site=PAC5|temp_c=35.3|pres_kpa=526.2|status=OK
L060094,ts=2025-02-07T12:45:00Z|dev=CMP-9049|site=ICE1|temp_c=50.0|pres_kpa=209.8|status=OK
L060095,ts=2025-04-28T04:04:49Z|dev=VLV-7948|site=BKK1|temp_c=69.0|pres_kpa=886.7|status=OK
L060096,ts=2025-05-01T05:47:07Z|dev=VLV-9661|site=MID1|temp_c=88.5|pres_kpa=237.2|status=OK
L060097,ts=2025-02-01T04:27:00Z|dev=FAN-9884|site=DEN3|temp_c=37.8|pres_kpa=743.7|status=OK
L060098,ts=2025-02-18T11:36:20Z|dev=PMP-7796|site=SIN2|temp_c=91.6|pres_kpa=451.8|status=OK
L060099,ts=2025-05-09T12:16:31Z|dev=VLV-7201|site=NFL1|temp_c=67.4|pres_kpa=398.9|status=WARN
L060100,REJECT
L060101,ts=2025-04-01T21:34:29Z|dev=FAN-9434|site=IRL2|temp_c=77.3|pres_kpa=114.9|status=OK
L060102,ts=2025-05-21T17:57:08Z|dev=FAN-9535|site=ICE1|temp_c=-4.6|pres_kpa=656.7|status=OK
L060103,ts=2025-05-01T09:30:08Z|dev=PMP-8170|site=UAE3|temp_c=24.8|pres_kpa=562.5|status=OK
L060104,ts=2025-03-29T21:22:39Z|dev=CMP-7501|site=NE2|temp_c=43.0|pres_kpa=357.0|status=OK
L060105,ts=2025-03-31T04:31:36Z|dev=CMP-7079|site=DEN3|temp_c=25.3|pres_kpa=635.6|status=OK
L060106,ts=2025-04-04T06:54:58Z|dev=FAN-8616|site=SEA2|temp_c=-3.3|pres_kpa=278.7|status=OK
L060107,ts=2025-04-11T13:49:10Z|dev=CMP-7695|site=IRL2|temp_c=7.5|pres_kpa=359.9|status=OK
L060108,ts=2025-02-17T19:26:00Z|dev=CMP-7635|site=ICE1|temp_c=85.3|pres_kpa=816.1|status=OK
L060109,ts=2025-04-08T18:56:17Z|dev=CMP-8409|site=PHX1|temp_c=90.4|pres_kpa=346.1|status=OK
L060110,ts=2025-02-13T11:59:00Z|dev=FAN-8701|site=JPN1|temp_c=88.6|pres_kpa=858.0|status=OK
L060111,ts=2025-02-17T00:05:00Z|dev=CMP-7926|site=IRL2|temp_c=49.0|pres_kpa=531.3|status=WARN
L060112,ts=2025-05-23T20:31:00Z|dev=PMP-9199|site=PAC8|temp_c=-1.5|pres_kpa=744.9|status=OK
L060113,ts=2025-05-01T16:34:00Z|dev=PMP-9894|site=CAI1|temp_c=20.6|pres_kpa=804.8|status=FAULT
L060114,ts=2025-02-19T18:13:00Z|dev=PMP-9508|site=UAE3|temp_c=78.9|pres_kpa=766.3|status=OK
L060115,ts=2025-05-08T23:49:00Z|dev=FAN-7066|site=IRL2|temp_c=22.8|pres_kpa=225.8|status=OK
L060116,ts=2025-02-02T01:44:00Z|dev=PMP-8173|site=NE7|temp_c=51.6|pres_kpa=186.7|status=OK
L060117,ts=2025-04-17T12:14:00Z|dev=FAN-9328|site=ANC1|temp_c=72.0|pres_kpa=522.5|status=OK
L060118,ts=2025-03-05T11:48:00Z|dev=VLV-7977|site=UK4|temp_c=80.3|pres_kpa=120.3|status=OK
L060119,ts=2025-03-09T16:45:00Z|dev=VLV-8739|site=ATH2|temp_c=34.9|pres_kpa=827.8|status=OK
L060120,ts=2025-02-15T02:04:28Z|dev=PMP-8965|site=MID9|temp_c=22.3|pres_kpa=800.1|status=OK
L060121,ts=2025-02-23T14:09:38Z|dev=VLV-9904|site=CAI1|temp_c=88.1|pres_kpa=696.8|status=OK
L060122,ts=2025-03-26T01:04:00Z|dev=CMP-9189|site=SIN2|temp_c=24.9|pres_kpa=609.7|status=OK
L060123,ts=2025-02-02T21:28:00Z|dev=FAN-9216|site=NE7|temp_c=77.7|pres_kpa=453.8|status=OK
L060124,ts=2025-05-29T22:34:08Z|dev=FAN-9047|site=NZL1|temp_c=-3.8|pres_kpa=857.0|status=OK
L060125,ts=2025-02-19T12:34:18Z|dev=VLV-9618|site=ATL4|temp_c=67.2|pres_kpa=122.1|status=OK
L060126,ts=2025-04-25T13:05:00Z|dev=CMP-8678|site=IND2|temp_c=53.6|pres_kpa=260.5|status=OK
L060127,ts=2025-02-28T00:08:52Z|dev=CMP-7882|site=SEA2|temp_c=20.3|pres_kpa=158.4|status=OK
L060128,ts=2025-03-05T17:49:00Z|dev=VLV-9403|site=ICE1|temp_c=39.1|pres_kpa=480.9|status=OK
L060129,ts=2025-04-13T23:39:00Z|dev=FAN-7290|site=GER1|temp_c=10.3|pres_kpa=564.5|status=OK
L060130,ts=2025-02-01T20:28:00Z|dev=VLV-9529|site=SIN2|temp_c=91.1|pres_kpa=635.1|status=OK
L060131,ts=2025-02-18T07:36:00Z|dev=CMP-8010|site=GER1|temp_c=1.6|pres_kpa=110.1|status=OK
L060132,ts=2025-02-02T16:20:00Z|dev=VLV-9376|site=SEA2|temp_c=20.3|pres_kpa=761.9|status=OK
L060133,ts=2025-04-05T17:50:23Z|dev=VLV-8072|site=UAE3|temp_c=4.0|pres_kpa=367.4|status=OK
L060134,ts=2025-04-12T22:24:10Z|dev=VLV-7871|site=SEA2|temp_c=39.4|pres_kpa=561.2|status=OK
L060135,ts=2025-02-07T08:45:00Z|dev=VLV-9740|site=IRL2|temp_c=35.6|pres_kpa=741.5|status=OK
L060136,ts=2025-05-07T05:05:05Z|dev=CMP-9579|site=BKK1|temp_c=68.7|pres_kpa=368.2|status=OK
L060137,ts=2025-05-10T15:36:15Z|dev=PMP-8250|site=IRL2|temp_c=44.2|pres_kpa=743.3|status=WARN
L060138,ts=2025-05-11T02:20:22Z|dev=PMP-8483|site=IND2|temp_c=82.9|pres_kpa=851.2|status=OK
L060139,REJECT
L060140,REJECT
L060141,ts=2025-04-08T19:50:31Z|dev=PMP-7509|site=SEA2|temp_c=46.2|pres_kpa=570.2|status=WARN
L060142,ts=2025-04-16T07:31:57Z|dev=VLV-8509|site=SIN2|temp_c=40.1|pres_kpa=428.8|status=OK
L060143,ts=2025-02-02T06:54:00Z|dev=VLV-8273|site=PHX1|temp_c=72.0|pres_kpa=394.5|status=OK
L060144,ts=2025-05-13T00:12:46Z|dev=CMP-9168|site=ARG1|temp_c=93.6|pres_kpa=581.8|status=OK
L060145,ts=2025-02-26T13:31:59Z|dev=CMP-8908|site=NZL1|temp_c=25.0|pres_kpa=664.2|status=OK
L060146,ts=2025-03-21T12:26:31Z|dev=FAN-8473|site=DEN3|temp_c=66.2|pres_kpa=658.1|status=WARN
L060147,ts=2025-05-28T06:56:38Z|dev=VLV-7248|site=ARG1|temp_c=57.7|pres_kpa=114.9|status=FAULT
L060148,ts=2025-04-06T02:34:51Z|dev=PMP-8644|site=ARG1|temp_c=56.6|pres_kpa=367.5|status=OK
L060149,ts=2025-02-27T23:52:00Z|dev=FAN-8858|site=UK4|temp_c=90.7|pres_kpa=229.7|status=OK
L060150,REJECT
L060151,ts=2025-02-11T18:51:20Z|dev=CMP-8452|site=BRZ2|temp_c=6.7|pres_kpa=152.0|status=OK
L060152,ts=2025-05-22T04:40:00Z|dev=PMP-8087|site=ATH2|temp_c=76.9|pres_kpa=714.4|status=OK
L060153,ts=2025-04-16T03:55:00Z|dev=VLV-8820|site=PER4|temp_c=19.4|pres_kpa=168.9|status=OK
L060154,ts=2025-04-09T09:37:39Z|dev=FAN-8180|site=FRA3|temp_c=8.4|pres_kpa=780.7|status=WARN
L060155,ts=2025-04-24T04:30:55Z|dev=VLV-7184|site=BKK1|temp_c=39.0|pres_kpa=632.7|status=OK
L060156,ts=2025-04-25T13:00:32Z|dev=PMP-8169|site=UAE3|temp_c=79.2|pres_kpa=87.3|status=OK
L060157,ts=2025-04-17T14:55:00Z|dev=PMP-8769|site=MID9|temp_c=38.6|pres_kpa=860.5|status=WARN
L060158,ts=2025-04-30T22:20:26Z|dev=VLV-9620|site=IND7|temp_c=50.2|pres_kpa=160.0|status=OK
L060159,ts=2025-03-15T01:22:30Z|dev=CMP-9281|site=HAW2|temp_c=44.7|pres_kpa=116.4|status=OK
L060160,ts=2025-03-29T17:43:00Z|dev=FAN-7906|site=PAC5|temp_c=-1.2|pres_kpa=860.6|status=FAULT
L060161,ts=2025-04-02T15:01:00Z|dev=CMP-9272|site=DEN3|temp_c=68.0|pres_kpa=785.8|status=OK
L060162,ts=2025-02-13T08:25:20Z|dev=CMP-9969|site=TEX2|temp_c=37.2|pres_kpa=430.7|status=OK
L060163,ts=2025-04-26T07:57:00Z|dev=PMP-9153|site=FIN1|temp_c=83.5|pres_kpa=363.8|status=OK
L060164,REJECT
L060165,ts=2025-03-13T01:52:28Z|dev=PMP-9848|site=UK4|temp_c=56.0|pres_kpa=616.0|status=OK
L060166,ts=2025-04-14T22:11:00Z|dev=FAN-8976|site=POL2|temp_c=11.5|pres_kpa=404.2|status=OK
L060167,REJECT
L060168,ts=2025-03-31T02:47:42Z|dev=PMP-9267|site=ANC1|temp_c=80.7|pres_kpa=365.7|status=FAULT
L060169,ts=2025-03-04T18:21:01Z|dev=VLV-7733|site=ARG1|temp_c=63.3|pres_kpa=142.5|status=OK
L060170,REJECT
L060171,ts=2025-04-04T02:58:00Z|dev=VLV-9514|site=NE7|temp_c=26.9|pres_kpa=214.5|status=OK
L060172,ts=2025-05-03T18:37:00Z|dev=PMP-9635|site=NFL1|temp_c=34.5|pres_kpa=746.1|status=OK
L060173,ts=2025-02-07T09:44:00Z|dev=PMP-8058|site=MID9|temp_c=34.7|pres_kpa=574.1|status=OK
L060174,ts=2025-04-16T09:59:26Z|dev=PMP-8434|site=SYD3|temp_c=70.2|pres_kpa=813.6|status=OK
L060175,ts=2025-03-17T15:22:00Z|dev=PMP-9879|site=NFL1|temp_c=46.9|pres_kpa=145.6|status=OK
L060176,ts=2025-04-15T08:47:39Z|dev=VLV-9278|site=IND7|temp_c=73.5|pres_kpa=687.5|status=WARN
L060177,ts=2025-02-03T06:39:50Z|dev=PMP-7153|site=PAC5|temp_c=92.1|pres_kpa=110.6|status=OK
L060178,ts=2025-04-11T04:31:00Z|dev=PMP-7298|site=NZL1|temp_c=40.1|pres_kpa=594.9|status=OK
L060179,ts=2025-05-20T02:28:00Z|dev=CMP-9947|site=ARG1|temp_c=93.9|pres_kpa=483.9|status=OK
L060180,ts=2025-05-10T13:15:00Z|dev=VLV-8572|site=FRA3|temp_c=0.4|pres_kpa=591.2|status=OK
L060181,ts=2025-02-19T05:30:33Z|dev=FAN-7469|site=JPN1|temp_c=86.6|pres_kpa=695.9|status=OK
L060182,ts=2025-02-26T22:04:27Z|dev=FAN-9364|site=IRL2|temp_c=27.3|pres_kpa=142.6|status=OK
L060183,ts=2025-05-18T09:00:00Z|dev=PMP-7483|site=NE2|temp_c=4.1|pres_kpa=412.2|status=OK
L060184,ts=2025-03-08T13:43:58Z|dev=CMP-8785|site=NE7|temp_c=7.4|pres_kpa=881.5|status=WARN
L060185,ts=2025-02-20T13:26:00Z|dev=VLV-7167|site=PAC8|temp_c=69.7|pres_kpa=839.4|status=OK
L060186,ts=2025-02-09T18:23:29Z|dev=CMP-8122|site=CHL3|temp_c=44.8|pres_kpa=754.0|status=FAULT
L060187,ts=2025-05-08T08:09:51Z|dev=FAN-9437|site=PAC5|temp_c=68.0|pres_kpa=649.6|status=OK
L060188,ts=2025-03-01T17:31:00Z|dev=CMP-9622|site=NE7|temp_c=7.8|pres_kpa=362.0|status=OK
L060189,ts=2025-04-03T02:22:00Z|dev=PMP-7118|site=DEN3|temp_c=50.5|pres_kpa=196.6|status=OK
L060190,ts=2025-03-11T06:55:04Z|dev=FAN-8347|site=TEX2|temp_c=14.4|pres_kpa=271.3|status=OK
L060191,ts=2025-02-16T09:33:29Z|dev=FAN-9641|site=IND7|temp_c=-4.0|pres_kpa=325.4|status=WARN
L060192,ts=2025-03-26T21:26:41Z|dev=PMP-9243|site=SEA2|temp_c=47.1|pres_kpa=891.2|status=OK
L060193,ts=2025-02-18T20:14:11Z|dev=VLV-8736|site=NE2|temp_c=4.1|pres_kpa=452.8|status=OK
L060194,ts=2025-03-14T19:14:17Z|dev=CMP-8620|site=NFL1|temp_c=71.8|pres_kpa=690.2|status=OK
L060195,ts=2025-03-10T06:35:22Z|dev=PMP-7572|site=POL2|temp_c=60.6|pres_kpa=396.2|status=OK
L060196,ts=2025-03-31T06:58:00Z|dev=CMP-9561|site=NE7|temp_c=8.1|pres_kpa=819.8|status=OK
L060197,ts=2025-05-19T04:25:01Z|dev=CMP-9361|site=ATL4|temp_c=57.6|pres_kpa=756.9|status=WARN
L060198,ts=2025-02-08T08:19:46Z|dev=PMP-9338|site=ANC1|temp_c=5.0|pres_kpa=883.3|status=FAULT
L060199,ts=2025-04-03T00:35:00Z|dev=VLV-9203|site=IND7|temp_c=35.5|pres_kpa=691.5|status=OK
L060200,ts=2025-04-07T00:49:00Z|dev=PMP-7760|site=IND7|temp_c=72.3|pres_kpa=535.5|status=OK
L060201,ts=2025-04-16T04:14:23Z|dev=FAN-7407|site=NE2|temp_c=8.7|pres_kpa=235.5|status=WARN
L060202,ts=2025-03-24T12:20:33Z|dev=PMP-8176|site=UK4|temp_c=49.5|pres_kpa=346.0|status=OK
L060203,ts=2025-05-18T07:01:02Z|dev=FAN-7075|site=JPN1|temp_c=-2.2|pres_kpa=387.2|status=FAULT
L060204,ts=2025-03-04T09:30:00Z|dev=FAN-8331|site=HAW2|temp_c=88.8|pres_kpa=215.7|status=OK
L060205,ts=2025-05-24T17:21:08Z|dev=FAN-7532|site=ATL4|temp_c=43.2|pres_kpa=864.7|status=OK
L060206,ts=2025-05-04T23:41:24Z|dev=CMP-9972|site=SEA2|temp_c=20.3|pres_kpa=129.8|status=OK
L060207,ts=2025-02-09T17:42:18Z|dev=FAN-9493|site=DEN3|temp_c=40.8|pres_kpa=792.4|status=OK
L060208,ts=2025-02-10T16:54:37Z|dev=CMP-8398|site=FRA3|temp_c=68.1|pres_kpa=464.3|status=OK
L060209,ts=2025-04-09T05:15:00Z|dev=VLV-8537|site=IND7|temp_c=43.8|pres_kpa=761.0|status=OK
L060210,ts=2025-04-26T22:56:18Z|dev=PMP-7983|site=IRL2|temp_c=22.5|pres_kpa=420.3|status=OK
L060211,ts=2025-05-25T21:50:40Z|dev=PMP-9078|site=IRL2|temp_c=23.1|pres_kpa=209.9|status=OK
L060212,ts=2025-02-27T04:04:10Z|dev=CMP-9646|site=FRA3|temp_c=36.2|pres_kpa=197.8|status=WARN
L060213,ts=2025-02-03T02:21:00Z|dev=CMP-8810|site=JPN1|temp_c=83.5|pres_kpa=729.2|status=OK
L060214,ts=2025-03-26T14:25:00Z|dev=VLV-9659|site=IND2|temp_c=21.5|pres_kpa=535.5|status=OK
L060215,ts=2025-04-11T05:28:36Z|dev=CMP-9532|site=ATL4|temp_c=41.2|pres_kpa=556.5|status=OK
L060216,ts=2025-02-05T04:34:00Z|dev=CMP-9662|site=JPN1|temp_c=80.4|pres_kpa=373.4|status=OK
L060217,ts=2025-02-22T13:19:04Z|dev=PMP-7314|site=ATH2|temp_c=9.8|pres_kpa=430.4|status=OK
L060218,ts=2025-05-03T21:10:07Z|dev=FAN-7483|site=ANC1|temp_c=36.3|pres_kpa=440.5|status=OK
L060219,ts=2025-03-11T02:22:38Z|dev=PMP-7864|site=FIN1|temp_c=32.3|pres_kpa=422.8|status=WARN
L060220,ts=2025-04-12T08:45:00Z|dev=CMP-8493|site=ICE1|temp_c=6.6|pres_kpa=657.3|status=OK
L060221,ts=2025-04-17T03:39:58Z|dev=PMP-9742|site=CHL3|temp_c=66.0|pres_kpa=200.1|status=OK
L060222,ts=2025-02-13T07:29:46Z|dev=VLV-8898|site=PAC5|temp_c=19.8|pres_kpa=172.0|status=OK
L060223,ts=2025-04-13T17:47:44Z|dev=PMP-7185|site=NZL1|temp_c=84.5|pres_kpa=463.0|status=OK
L060224,ts=2025-05-31T10:59:27Z|dev=FAN-8237|site=DEN3|temp_c=78.2|pres_kpa=333.3|status=OK
L060225,ts=2025-05-20T14:26:00Z|dev=FAN-9791|site=UK4|temp_c=28.4|pres_kpa=400.1|status=OK
L060226,ts=2025-03-05T22:10:28Z|dev=VLV-7508|site=NFL1|temp_c=71.1|pres_kpa=203.7|status=OK
L060227,ts=2025-04-16T08:09:00Z|dev=CMP-8965|site=GER1|temp_c=85.4|pres_kpa=416.0|status=WARN
L060228,ts=2025-03-21T17:49:22Z|dev=CMP-8329|site=FIN1|temp_c=1.2|pres_kpa=758.9|status=WARN
L060229,ts=2025-02-08T20:49:00Z|dev=FAN-7918|site=UAE3|temp_c=65.8|pres_kpa=245.5|status=WARN
