row_id,phonemes,src_phonemes
test_000044,kɹɔsɪŋ,kɹɒsɪŋ
test_000045,pæɹədɑem,pɛɹədaɪm
test_000046,ɹɪdjʉsɪz,ɹɪdjusɪz
test_000047,wɪðstʊd,wəðstʊd
test_000048,əʉpənə,əʊpənə
test_000049,tɛmpəɹaɪz,tɛmpəɹaɪz
test_000050,ɑkɪtaɪpəl,ɑɹkɪtaɪpəl
test_000051,kənɡlɔməɹət,kənɡlɒməɹɪt
test_000052,tøbjələnt,tɜbjələnt
test_000053,foɹɪd͡ʒɪz,fɒɹɪd͡ʒɪz
test_000054,ɪnfluənst,ɪnflʊənst
test_000055,dɪsɜnɪŋ,dɪsɜnɪŋ
test_000056,ɑkeɪɪk,ɑɹkeɪɪk
test_000057,əɡɹi,əɡɹi
test_000058,bæɡ,bɛɡ
test_000059,ɛntisɐʉʃəl,æntisoʊʃəl
test_000060,soʊsiɑləd͡ʒi,səʉsiɔləd͡ʒi
test_000061,ʃɪpə,ʃɪpɚ
test_000062,mɒnəkləʊnəl,mɑnəkloʊnəl
test_000063,kɑtɪlad͡ʒɪnəs,kɑɹtəlæd͡ʒənəs
test_000064,pɹɑbəbɪlɪstɪk,pɹɒbəbɪlɪstɪk
test_000065,kʌntɹɪfʌɪ,kəntɹəfaɪ
test_000066,stʌbɚnnəs,stʌbənnəs
test_000067,məʊdəs,moʊdəs
test_000068,hʊkə,hʊkə
test_000069,pɹɒbəbələstək,pɹɒbəbɪlɪstɪk
test_000070,dæljə,deɪliə
test_000071,bɹædɪkɑɹdiə,bɹeɪdɪkɑɹdiə
test_000072,oɹɡənɪzeɪʃən,ɔɡənaɪzeɪʃən
test_000073,fɪniəl,fɪniəl
test_000074,stɛəd,stɛɹd
test_000075,tɑpɪk,tɒpɪk
test_000076,ɪntɹədjust,ɪntɹədust
test_000077,juhiməɹaɪz,juhiməɹaɪz
test_000078,ɡləʉbəlɑezæɪʃən,ɡlɐʉbəlaɪzæɪʃən
test_000079,ɪnspəɹæɪʃən,ɪnspɚeɪʃən
test_000080,wɑdɪŋ,wɒdɪŋ
test_000081,malkəntɛnt,mælkəntɛnt
test_000082,noʊtəbl̩,nəʉtəbəl
test_000083,æmbɪɡjuəs,æmbɪɡjʉəs
test_000084,ʌnsɜtənti,ʌnsɝtənti
test_000085,boɹk,bɔk
test_000086,tɹɑepɔd,tɹɑepɒd
test_000087,ʃut,ʃut
test_000088,mɛθədəʊn,mɛθədoʊn
test_000089,koʊkənʌt,kɐʉkənɐt
test_000090,hɛdmɑstə,hɛdmæstɚ
test_000091,ɪlɛktɚ,ɪlɛktə
test_000092,tɜbjələnt,tøbjələnt
test_000093,we,wɛə
test_000094,beɪl,bæɪl
test_000095,til,til
test_000096,bɹəʊ̯ɡ,bɹoʊ̯ɡ
test_000097,ɔlbiɪt,ɔlbiɪt
test_000098,əsɛndənt,əsɛndənt
test_000099,mɑnətoʊn,mɔnətəʉn
test_000100,masitə,məsitɚ
test_000101,mɛmwɑ,mɛmwɑɹ
test_000102,sædl̩,sædəl
test_000103,kɑn,kɒn
test_000104,ɛfɚvɛsənt,ɛfəvɛsənt
test_000105,zaɪɡəmætɪk,zʌɪɡəʊmatɪk
test_000106,wæɪd͡ʒəɹ,weɪd͡ʒɚ
test_000107,ʌnweɪvəɹɪŋ,ənweɪvəɹɪŋ
test_000108,mɛθədoʊn,mɛθədəʊn
test_000109,kəmjʉnəti,kəmjʉnɪti
test_000110,bæm,bɛm
test_000111,dɪzɑstə,dəzästə
test_000112,juʒəɹi,juʒəɹi
test_000113,fɒli,fɑli
test_000114,kɒlɪd͡ʒɪz,kɔlɪd͡ʒɪz
test_000115,mɪsnəʊmə,mɪsnoʊməɹ
test_000116,bɪheɪvjəɹəl,bəhæɪvjəɹəl
test_000117,nəstæɫd͡ʒə,nɒstæld͡ʒə
test_000118,ɹevəlæɪʃən,ɹɛvəleɪʃən
test_000119,ɑbzɚveɪʃn̩,ɒbzəveɪʃn̩
test_000120,nɪpɛnθi,nəpɛnθi
test_000121,bəʊnhɛd,boʊnhɛd
test_000122,tɑksɪn,tɒksɪn
test_000123,pɹəfɛʃənəl,pɹəfeʃənəl
test_000124,ɪkweɪʒən,ɪkweɪʒən
test_000125,kəɹɐʉsəv,kəɹəʊsɪv
test_000126,sækɹɪfɑesɪz,sækɹɪfaɪsɪz
test_000127,hezətæɪt,hɛzəteɪt
test_000128,kəʊv,kəʉv
test_000129,weɪstland,weɪstlænd
test_000130,ɛnimɔɹ,ɛnimɔ
test_000131,sɪmɛtɹɪkəl,sɪmetɹɪkəl
test_000132,dɒkjʊdɹɑmə,dɑkjədɹɑmə
test_000133,təɹɛəɹɪəm,tɘɹiəɹiɘm
test_000134,sæɪdɪzəm,sæɪdəzəm
test_000135,sədeɪt,sɪdeɪt
test_000136,wɒt͡ʃdɒɡ,wɑt͡ʃdɑɡ
test_000137,lɒkɪt,lɑkɪt
test_000138,stɹætəsfɪə,stɹætəsfɪɚ
test_000139,pɹɔsɪkjʉʃən,pɹɒsɪkjuʃən
test_000140,ləd͡ʒɪtɪməsi,ləd͡ʒɪtɪməsi
test_000141,bæɡ,bæɡ
test_000142,sɪɡɑɹz,sɪɡɑz
test_000143,seɪdɪzəm,seɪdɪzəm
test_000144,pɜlju,pɝlju
test_000145,ɡɹeɪt,ɡɹæɪt
test_000146,kɔmpəzɪt,kəmpɑzɪt
test_000147,ɔθəɹaɪzeɪʃən,oθəɹɑezæɪʃən
test_000148,pɹɒbəbɪlɪstɪk,pɹɑbəbɪlɪstɪk
test_000149,ɪkskɹuʃieɪtɪŋ,ɪkskɹuʃieɪtɪŋ
test_000150,sɪlɑntɹoʊ,sɪlæntɹəʊ
test_000151,wɔɹənt,wɒɹənt
test_000152,elʉm,ɛɚlum
test_000153,stɹɑedənt,stɹaɪdənt
test_000154,hɑtstɹɪŋz,hɑɹtstɹɪŋz
test_000155,æntisoʊʃəl,ɛntisɐʉʃəl
test_000156,ænəteɪt,ænəteɪt
test_000157,nɐʉtəbəl,nəʊtəbl̩
test_000158,ənkloʊzd,ənkləʊzd
test_000159,kʌmkwɑt,kʌmkwɒt
test_000160,kəɹæɪd͡ʒəs,kəɹeɪd͡ʒəs
test_000161,fɔmətɪv,foɹmətɪv
test_000162,tɛmpəɹɛɹəli,tɛmpərərɪli
test_000163,pʌls,pʌls
test_000164,ɪkskɹuʃieɪtɪŋ,əkskɹʉʃiæɪtəŋ
test_000165,mɐʉdəs,moʊdəs
test_000166,njuɑns,njuɑns
test_000167,ənweɪvəɹɪŋ,ʌnweɪvəɹɪŋ
test_000168,ænəlɒɡ,ɛnəlɒɡ
test_000169,kɒmpaʊnd,kɒmpæʊnd
test_000170,ɡɹoʊn,ɡɹəʊn
test_000171,leɪbəd,leɪbɚd
test_000172,feəɹiz,fɛəɹiz
test_000173,ɪmpɝmɪəbəl,ɪmpɜmɪəbəl
test_000174,kəmpɛɹəsən,kəmpæɹɪsən
test_000175,nɒɡ,nɑɡ
test_000176,ɪntɪɡɹeɪt,ɪntəɡɹæɪt
test_000177,kɒmpæʊnd,kɔmpæɔnd
test_000178,bɛəɹɪŋ,bɛɹɪŋ
test_000179,sɪkludɪd,sɪkludɪd
test_000180,zaɪɡoʊt,zaɪɡəʊt
test_000181,ænətɒmɪkəl,ænətɔmɪkəl
test_000182,kɒndʒʌŋktʌɪvəl,kɑnd͡ʒʌŋktaɪvəl
test_000183,ɫænjəd,lænjəd
test_000184,həʊməfəʊb,hoʊməfoʊb
test_000185,səʊl,soʊl
test_000186,d͡ʒɑɹp,d͡ʒɑp
test_000187,oɹkɪstɹə,ɔkɪstɹə
test_000188,ɪmpjədn̩t,ɪmpjʊdənt
test_000189,ɹəkun,ɹækun
test_000190,dɛɹz,dɛəz
test_000191,ɑɹɡjəmɛnteɪʃən,ɑɡjəmɛnteɪʃən
test_000192,pjʉə,pjʊɹ
test_000193,mɒnəlɒɡ,mɑnəlɔɡ
test_000194,kɹɒsɪŋ,kɹɑsɪŋ
test_000195,pleɪəɹ,pleɪɚ
test_000196,tɝki,tɜki
test_000197,supə,supɚ
test_000198,ɔɡənaɪz,ɔɹɡənaɪz
test_000199,tɹəvɜst,tɹəvɝst
test_000200,dɪspɹəpɔɹʃənətli,dɪspɹəpɔʃənətli
test_000201,ɛəlum,elʉm
test_000202,kʌʊ̯stə,kəʊ̯stə
test_000203,ɒksikəʊdəʊn,ɑksikoʊdoʊn
test_000204,pɹəd͡ʒɛktɚ,pɹəd͡ʒektə
test_000205,lɛɡmæn,lɛɡmæn
test_000206,pɹɑeməɹi,pɹaɪməɹi
test_000207,jubɪkwɪtəs,jʉbɪkwɪtəs
test_000208,dɪvaɪs,dɪvaɪs
test_000209,ʃʌtl̩kɑk,ʃɐtl̩kɔk
test_000210,dəʊnə,dɐʉnə
test_000211,pɹɒbəbələstək,pɹɑbəbɪlɪstɪk
test_000212,steɪtəs,steɪtəs
test_000213,kwɒdɹɪpəlidʒɪk,kwɑdɹɪpəlid͡ʒɪk
test_000214,fɒks,fɒks
test_000215,ɹeɹəti,ɹɛəɹəti
test_000216,daɪkɒtəməs,daɪkɒtəməs
test_000217,kəmjʉnəti,kəmjunɪti
test_000218,θɪŋkɚ,θɪŋkə
test_000219,kɑɪɹəpɹæktəɹ,kaɪɹəpɹæktɚ
test_000220,ʌpləʊd,ɐplɐʉd
test_000221,ɡæɡ,ɡæɡ
test_000222,dɪsɜnɪŋ,dəsønəŋ
test_000223,kɔtɪsɒl,koɹtɪsɔl
test_000224,ɪnkʌmbənt,ɪnkʌmbənt
test_000225,pɹədjusə,pɹədjʉsə
test_000226,blɛəz,blɛəɹz
test_000227,ɪnɔɡjʊɹeɪt,ɪnoɡjəɹæɪt
test_000228,poʊt,pəʊt
test_000229,wɜɹdz,wɜdz
test_000230,pɹɛdnɪsəloʊn,pɹɛdnɪsələʊn
test_000231,bɪsaɪd,bɪsaɪd
test_000232,səpɹimʌm,səpɹimʌm
test_000233,sʌbstɪtutɪd,sʌbstɪtjutɪd
test_000234,dɹobæk,dɹɔbæk
test_000235,ɡɹɒɡɹəm,ɡɹɑɡɹəm
test_000236,pɹəʊnaʊn,pɹoʊnaʊn
test_000237,ɪmbæɹəsɪŋ,ɪmbæɹəsɪŋ
test_000238,sɜkəs,sɝkəs
test_000239,mɑnɪtɛɹi,mɐnəteɹi
test_000240,kʉθ,kuθ
test_000241,sɜtɪfɪkeɪʃən,sɜtɪfɪkæɪʃən
test_000242,blaɪndfəʊld,blaɪ̯ndfɔʊ̯ld
test_000243,pɝt,pɜt
test_000244,kædi,kædi
test_000245,stɔɹ,stɔ
test_000246,klɑt,klɔt
test_000247,ɡloɹi,ɡloɹi
test_000248,kɑmɛnts,kɒmɛnts
test_000249,wotəwæɪ,wɔtəweɪ
test_000250,tɜbjələnt,tɜbjələnt
test_000251,t͡ʃeɪmbəlɪn,t͡ʃeɪmbɚlɪn
test_000252,hɑɹti,hɑti
test_000253,bəhæɪvjəɹəl,bɪhæɪvjəɹəl
test_000254,ɒsaɪn,ɑsaɪn
test_000255,ɡɹæɔndbɹæɪkɪŋ,ɡɹaʊndbɹeɪkɪŋ
test_000256,ɹɛtə,ɹɛtəɹ
test_000257,pɔlɪtɪʃənz,pɒlətəʃənz
test_000258,hɑmɒnɪk,hɑɹmɑnɪk
test_000259,wɔɹfɛɹ,wɔfɛə
test_000260,mɑnətɑnɪk,mɒnətɒnək
test_000261,tæɡ,tɛɡ
test_000262,fæɡ,fæɡ
test_000263,dɒŋɡə,dɔŋɡə
test_000264,tɛljʊɹiən,tɛljʊəɹɪən
test_000265,dɑndɪst,dɑɹndɪst
test_000266,kɑmɹæd,kɒmɹeɪd
test_000267,steɪkhoʊldɚ,steɪkhəʊldə
test_000268,tempəɹət͡ʃə,tɛmpɚət͡ʃɚ
test_000269,hɛŋ,hæŋ
test_000270,pɑɹʃiælɪti,pɐʃiɛlɘti
test_000271,məʉ,mɐʉ
test_000272,mʌðəhʊd,mʌðɚhʊd
test_000273,tɛknɪkəl,teknɪkəl
test_000274,loʊkəlɪzəm,ləʊkəlɪzəm
test_000275,hɑɹtlɪs,hɑtlɪs
test_000276,ɪmpɪəɹiəlɪzəm,ɪmpɪɹiəlɪzəm
test_000277,aɪtəmz,aɪtəmz
test_000278,d͡ʒiɪɒləd͡ʒi,d͡ʒiɒləd͡ʒi
test_000279,əɹoʊbɪks,əɹəʊbɪks
test_000280,ɑetəmz,aɪtəmz
test_000281,səbələnt,sɪbɪlənt
test_000282,kʉli,kuli
test_000283,kɹɑkəɹi,kɹɒkəɹi
test_000284,steə,stɛɚ
test_000285,fɔltə,fɔltəɹ
test_000286,kɒmpaʊnd,kɑmpaʊnd
test_000287,lɑd,lɑɹd
test_000288,ɪntɜmənt,ɪntɝmənt
test_000289,bɔɹdwɔk,bodwok
test_000290,ɹɪspɒnsəbɪlɪti,ɹɪspɔnsəbɪləti
test_000291,blu,blʉ
test_000292,jæm,jɛm
test_000293,ədmɪnɪstɚ,ədmɪnɪstə
test_000294,fɛəɹiz,fɛəɹiz
test_000295,ælməkæntə,ælməkæntɚ
test_000296,ɔɹeɪʃən,ɒɹeɪʃən
test_000297,flɒks,flɑks
test_000298,ɹɛəɹəti,ɹeɹəti
test_000299,nɔnsəns,nɒnsəns
test_000300,əlʊɹɪŋ,əlʊəɹɪŋ
test_000301,koɹtɪsɔl,kotəsɒl
test_000302,kʉθ,kuθ
test_000303,flɛʃlɑet,flæʃlɑet
test_000304,pætəntli,peɪtəntli
test_000305,stɹɪkt͡ʃɚ,stɹɪkt͡ʃə
test_000306,tæɡ,tɛɡ
test_000307,kɔlɪd͡ʒɪz,kɒləd͡ʒəz
test_000308,tɜki,tɝki
test_000309,elʉm,ɛəlum
test_000310,fɔɹɪnɚz,fɒɹɪnəz
test_000311,dɪsəɡɹimənt,dɪsəɡɹimənt
test_000312,beɪs,bæɪs
test_000313,əkjumjəleɪtɪd,əkjumjʊleɪtɪd
test_000314,seɪdɪzəm,seɪdɪzəm
test_000315,ɹɪklus,ɹɪklʉs
test_000316,pəɹɒksaɪd,pəɹɑksaɪd
test_000317,ɹæʃənəlɑɪz,ɹæʃənəlaɪz
test_000318,hɪpoʊkɹæs,hɪpəʊkɹæs
test_000319,weðə,wɛðɚ
test_000320,nəstæɫd͡ʒə,nɑstæld͡ʒə
test_000321,ɛnəlɒɡ,ænəlɔɡ
test_000322,ɪnvɒlvd,ɪnvɑlvd
test_000323,wɪðstʊd,wəðstʊd
test_000324,pɹiviəsli,pɹiviəsli
test_000325,lɒksmɪθ,lɑksmɪθ
test_000326,dɪfɚ,dɪfə
test_000327,əsɛs,əses
test_000328,pɹədjusə,pɹədusɚ
test_000329,ɔltɚkeɪʃən,ɔltəkeɪʃn̩
test_000330,tekstɑel,tekstaɪl
test_000331,ɹɪdjus,ɹɪdjʉs
test_000332,pɹɑeməɹɪli,pɹaɪmɛɹəli
test_000333,skwikə,skwikəɹ
test_000334,kændɪdɪt,kændədət
test_000335,daɪkɑtəmi,dɑekɔtəmi
test_000336,θɹupʊt,θɹupʊt
test_000337,kuli,kuli
test_000338,sʌðɚli,sɐðɘli
test_000339,ɛndʒɪnɪəɹɪŋ,ɛnd͡ʒɪnɪəɹɪŋ
test_000340,hupu,hupu
test_000341,ʌntəʊld,ʌntoʊld
test_000342,tɘɹiəɹiɘm,təɹɛəɹɪəm
test_000343,bɔɪləpleɪt,bɔɪləɹpleɪt
test_000344,ɹed͡ʒɪstə,ɹed͡ʒəstə
test_000345,stændədɑezæɪʃən,stændədaɪzeɪʃən
test_000346,æd͡ʒaɪl,ɛd͡ʒaɪl
test_000347,əvɜt,əvɝt
test_000348,kɒntɹədəktəɹi,kɔntɹədɪktəɹi
test_000349,pjutətɪvli,pjutətɪvli
test_000350,floʊteɪʃən,fləʊteɪʃən
test_000351,ɹɛm,ɹæm
test_000352,pɹɑm,pɹɒm
test_000353,pʊəɹi,pʊɹi
test_000354,hiliɛɹ,hiliɛə
test_000355,kɑtɪlɪd͡ʒ,kɑɹtəlɪd͡ʒ
test_000356,lɒbi,lɑbi
test_000357,ðɛɹəbaʊt,ðɛəɹəbaʊt
test_000358,kɑntəmpleɪt,kɒntəmpleɪt
test_000359,nɒnəd͡ʒɪnɛrɪən,nɑnəd͡ʒɪnɛriən
test_000360,lɛd͡ʒɪslətɪv,lɛd͡ʒɪsleɪtɪv
test_000361,boʊ̯ɡəs,bəʉ̯ɡəs
test_000362,dɛɹz,deəz
test_000363,daɪvød͡ʒənt,daɪvɜd͡ʒənt
test_000364,bəʉ̯ɡəs,boʊ̯ɡəs
test_000365,æmbɪʃən,ɛmbəʃən
test_000366,kɔn,kon
test_000367,deɪ̯,dæɪ̯
test_000368,fləʊtə,floʊtəɹ
test_000369,ɹɪspɑnsəbɪləti,ɹɪspɔnsəbɪləti
test_000370,peɪliəntɑləd͡ʒi,peɪliəntɒləd͡ʒi
test_000371,pɹaɪmɛɹəli,pɹɑeməɹɪli
test_000372,pjutətɪvli,pjutətɪvli
test_000373,kwɔɹtɚmæstɚ,kwɔtɚmɑstə
test_000374,aɪtəmz,aɪtəmz
test_000375,æmbɪɡjʉəs,æmbɪɡjuəs
test_000376,sɔb,sob
test_000377,eəwæɪ,ewæɪ
test_000378,kætəstɹɑfɪk,kætəstɹɔfɪk
test_000379,doʊnʌt,dəʊnʌt
test_000380,ɡʌvɚnmənts,ɡʌvənmənts
test_000381,bʊldoʊz,bʊldəʊz
test_000382,sɝkəs,sɜkəs
test_000383,məʊzeɪk,moʊzeɪɪk
test_000384,tiθ,tiθ
test_000385,nɛsəsɛɹəli,nesəseɹəli
test_000386,kɒnstɪtjut,kɑnstɪtjut
test_000387,sæɪdəzəm,seɪdɪzəm
test_000388,ləd͡ʒɪtɪməsi,ləd͡ʒɪtɪməsi
test_000389,ɡɹæn,ɡɹɛn
test_000390,pɒləsiz,pɑləsiz
test_000391,ɹɛɡ,ɹæɡ
test_000392,ɒzməʊ̯sɪs,ɑzmoʊ̯sɪs
test_000393,kənɒnɪkəl,kənɒnəkəl
test_000394,ɹoʊl,ɹəʉl
test_000395,pɝslən,pɜslən
test_000396,fɜɹi,føɹi
test_000397,kɒlɪd͡ʒɪz,kɑlɪd͡ʒɪz
test_000398,æloʊz,æləʊz
test_000399,spɛktækjʊlə,spɛktækjəlɚ
test_000400,kɑɹnɪvoɹ,kɑnɪvɔ
test_000401,nɑsi,neɪsaɪ
test_000402,ɪntɚnɛt,ɪntənet
test_000403,nɑstæld͡ʒə,nɒstæld͡ʒə
test_000404,flɛp,flæp
test_000405,difɛnəstɹeɪʃən,dɪfɛnɪstɹeɪʃən
test_000406,ɪmpɛɹətɪv,ɪmpɛɹətɪv
test_000407,kɪnisɪks,kənisɪks
test_000408,dɪskɹɪməneɪt,dɪskɹɪmənæɪt
test_000409,læm,lɛm
test_000410,ɪnsaɪ̯t,ɪnsaɪ̯t
test_000411,festəvəl,festəvəl
test_000412,zʌɪɡəʊmatɪk,zaɪɡəmætɪk
test_000413,ɑɹbɪtɚ,ɑbɪtəɹ
test_000414,sɪɡɑɹ,sɪɡɑɹ
test_000415,livə,lɛvɚ
test_000416,stɹaɪdənt,stɹɑedənt
test_000417,ɡlɛd,ɡlæd
test_000418,ɡlæd,ɡlæd
test_000419,wʌndə,wʌndɚ
test_000420,ɐnfosin,ʌnfɔsin
test_000421,hʌt,hɐt
test_000422,klɒt,klɑt
test_000423,fəʊkəst,foʊkəst
test_000424,lɐd,lɑd
test_000425,kɒləɹə,kɑləɹə
test_000426,baɪəɹ,baɪə
test_000427,daɪhɑd,daɪhɑɹd
test_000428,skɘpɘ,skɪpɚ
test_000429,klɒt,klɔt
test_000430,aɪtəmz,ɑetəmz
test_000431,fəʉkəst,fəʊkəst
test_000432,ɡɑsɪpɪŋ,ɡɒsɪpɪŋ
test_000433,mizəlz,mizəlz
test_000434,pɒləsiz,pɔləsiz
test_000435,mænjʊfæktʃəɹəz,mænjəfækt͡ʃəɹɚz
test_000436,plɛnət,plænɪt
test_000437,ɪmpɒsɪbɪliti,ɪmpɑsɪbɪliti
test_000438,ɪmbæɹəsɪŋ,ɪmbæɹəsɪŋ
test_000439,lɔdli,loɹdli
test_000440,kəmjʉnɪti,kəmjunɪti
test_000441,dɒŋki,dɑŋki
test_000442,kɒɹəspɒndəns,kɒɹɪspɒndəns
test_000443,ɔɡənaɪzeɪʃən,oɡənɑezæɪʃən
test_000444,ɡləʊbəlaɪzeɪʃən,ɡlɐʉbəlaɪzæɪʃən
test_000445,fəʊnəʊɹɪsɛpʃn̩,foʊnoʊɹəsɛpʃən
test_000446,pɹɑns,pɹæns
test_000447,ɹɛfəɹənsɪz,ɹefəɹənsəz
test_000448,mento,mɛntɔ
test_000449,səʊn,soʊn
test_000450,eləmənts,ɛlɪmənts
test_000451,ɹeɪvn̩,ɹeɪvən
test_000452,ædɪtɪv,ædɪtɪv
test_000453,dɪskɹedɪt,dɪskɹɛdɪt
test_000454,kɑndəmneɪʃən,kɒndɛmneɪʃən
test_000455,tɔɹəs,toɹəs
test_000456,əbæk,əbe̞k
test_000457,ɪnɔɡjəɹet,ɪnɔɡjʊɹeɪt
test_000458,ɪɹɛɡjʊlæɹɪti,ɪɹɛɡjəlɛɹɪti
test_000459,muʃwɑ,muʃwɑɹ
test_000460,bɔldə,bɔldɚ
test_000461,hʌvɚ,hɔvə
test_000462,nɑvəlɪst,nɒvəlɪst
test_000463,fɪnɛs,fɪnɛs
test_000464,kotɪsɔl,koɹtɪsɔl
test_000465,kuli,kuli
test_000466,kædi,kædi
test_000467,sɪmetɹɪkəl,sɪmɛtɹɪkəl
test_000468,ful,ful
test_000469,kɔmpəzɪt,kɒmpəzət
test_000470,ɔltɜnətɪv,ɒltɜnətɪv
test_000471,aɪsətɹɒpɪk,aɪsətɹɑpɪk
test_000472,wɪɹi,wiə̯ɹi
test_000473,θʌndɚbɝd,θʌndəbɜd
test_000474,aɪsɒsəliz,aɪsɑsəliz
test_000475,pɹɔsɪkjʉʃən,pɹɑsɪkjuʃən
test_000476,slɑnt,slænt
test_000477,dəskɹepənsi,dɪskɹepənsi
test_000478,kʌm,kʌm
test_000479,dɪskʌst,dɪskʌst
test_000480,ætəmɪsɪti,ætəmɪsɪti
test_000481,klɛvɚ,klɛvə
test_000482,ɪkaɪnədɝm,ɪkaɪnəʊdɜm
test_000483,kəʊtəɹi,koʊtəɹi
test_000484,pɹɒvɪndə,pɹɑvəndɚ
test_000485,kændədəsi,kændɪdəsi
test_000486,pɜɡətəɹi,pɝɡətɔɹi
test_000487,sʌbstɪtjutɪd,sʌbstɪtutɪd
test_000488,kɹɒs,kɹɔs
test_000489,tɛwɑ,tɛɹwɑɹ
test_000490,kɑnsəkɹeɪtɪd,kɒnsəkɹeɪtɪd
test_000491,til,til
test_000492,pɔsəbəl,pɒsəbəl
test_000493,njʉt,njut
test_000494,ɑbɪtɹeɪʃən,ɑɹbɪtɹeɪʃən
test_000495,pɒləmɒləd͡ʒi,pɑləmɑləd͡ʒi
test_000496,ʌphəʊlstəɹə,ʌphoʊlstəɹəɹ
test_000497,lɛɚ,le
test_000498,ɛmbəʃən,æmbɪʃən
test_000499,ɡɹæspt,ɡɹɑspt
test_000500,ʃɒtɡʌn,ʃɑtɡʌn
test_000501,stændədaɪzeɪʃən,stɛndədaɪzæɪʃən
test_000502,kuθ,kʉθ
test_000503,noʊmædɪk,nəʊmædɪk
test_000504,tɒpɪk,tɑpɪk
test_000505,ɔdiəʊ,odiɐʉ
test_000506,kəmpɑzɪt,kɒmpəzɪt
test_000507,mətrɪkjʊleɪʃən,mətrɪkjəleɪʃən
test_000508,səpəʊzɪŋ,səpoʊzɪŋ
test_000509,tit͡ʃə,tit͡ʃɚ
test_000510,ʃækl̩,ʃækəl
test_000511,dəʉnə,doʊnɚ
test_000512,kəɹɑtɪd,kəɹɒtɪd
test_000513,hɑtɪli,hɑɹtɪli
test_000514,lɛm,læm
test_000515,hʌvɚ,hɒvə
test_000516,swɪt͡ʃbæk,swɪt͡ʃbæk
test_000517,hɛvɪə,hɛviɚ
test_000518,fɒli,fɑli
test_000519,kloʊk,klɐʉk
test_000520,kəmpæɹɪsən,kəmpɛɹəsən
test_000521,ɛɹɐʉ,æɹəʉ
test_000522,zoʊθeɪkə,zəʊθeɪkə
test_000523,pləɹoʊmə,plɪɹəʊmə
test_000524,splɛndə,splɛndɚ
test_000525,dɪspɹəpɔɹʃənətli,dəspɹəpoʃənətli
test_000526,stɛə,stɛɚ
test_000527,daɪkɒtəmi,daɪkɑtəmi
test_000528,klɔt,klɑt
test_000529,kəʉv,kəʊv
test_000530,kwæɡmaɪɹ,kwæɡmɑɪəɹ
test_000531,pɹɛʃiənt,pɹɛsiənt
test_000532,ɹɪdjʉs,ɹɪdjus
test_000533,kənfomɪti,kənfɔmɪti
test_000534,wɛstwɚd,wɛstwəd
test_000535,ɐnsøtənti,ɐnsɜtənti
test_000536,kɒlɪd͡ʒɪz,kɒləd͡ʒəz
test_000537,kɹɒsɪŋ,kɹɔsɪŋ
test_000538,pɹəʉɡɹæm,pɹoʊ̯ɡɹæm
test_000539,boʊɡi,bəʊɡi
test_000540,ɪnfɹəstɹʌkt͡ʃə,ɪnfɹəstɹɐkt͡ʃə
test_000541,pəɹɒksaɪd,pəɹɔksɑed
test_000542,æbdɑmɪneɪliə,æbdɒmɪneɪliə
test_000543,kɹɑp,kɹɒp
