row_id,text,batch_id
train_00010,"nted the retiring worshipful master. Mr. How ard, with a beautiful master's en.blem, the gift of the members of the lodge. as a mark of appreciation of Mr Howard’s successful adminis tration as presiding officer of Mt. Mc Kinley Lodge during the past year. Mr. Howard accepted the gift in a few well chosen words. Oscar C. Meyer I and irdwerd- S7. Wfedley w-ro the other speakers, the former admitting his inability to respond to the subject, । which the toastmaster had so cleverly i assigned to him. Judge Medley made I a few harps and witty remarks, which । were a fitting windup of a most p",batch_21
train_00011,"infield Scott Hammond of Min nesota died suddenly here today. Gov ernor Hammond came here for a short visit, intending to examine some farm lands which he owned near this city, and was stricken with appoplexy at his hotel. He died without regaining consciousness. Governor Hammond had been one year in office, and had one more year to serve. The body will be taken back to his home state and burled officially at the capital. state :0: AUSTRIA SENDS SECOND NOTE E. * X ) ON ANCONA A WASHINGTON, Dec. 30. — The 1 ,3 state department announced official ly today that the Vienna foreign of fice had handed to Amhaszador Pen field the Austrian reply to the second Ancona note. The reply will be 1m modintely codified by Penfield and sent on the way to this country, the toll text probably not reaching here before Saturday. ? I -:o: Bid ORE SHIPMENTS. The freighter Cordova is in port, loading 750 tons of copper ore for the Tacoms sm",batch_21
train_00012," A new candi- | date has been suggested as the nomi nee of the Republican party for presi dent next year. Today the name of Henry D. Estabrook, of New York, was placed on the Nebraska primary ballot as a candidate for the Repub lican nomination. :o. LOS ANGELES IS EXPFRIFNCING 000 WEATHER LOS ANGELES, Dec. 30. cold wave which swept over The the Northwest has reached as far south as this city, and there was snow on I the orange trees today. The tem perature was high, and the snowfall was light and no damage resulted. the upper air being considerably colder' than the strata next to the earth. Hain la now falling heavily all over the citrus belt. | O: DECEMBER CASUALTIES OF BRITISH 18,500 LONDON, Dec. 3L—The war office announced today that the total Brit ish casualties on all the fighting lines for the month of December were one thousand officers and 17,500 men. This includes wounded and missing, a",batch_21
train_00013,"pson, the newly elected mayor of Chicago, will be withdrawn from the Nebraskan prim ary ballot. Thompson’s name was placed on the ballot by petition as a __ sea. P. 4. T--T1I. m=2ae_’ candidate for the Republican nomin ation for president. Thompson has written to the secretary of state at Lincoln. expressing a desire to have his name withdrawn, and stating that under no circumstances would he be a candidate for the position. I :0: ALAMEDA CORDOVA SEATTLE, Dec. 31. — The steamer Alameda sailed from here last night with twenty-three ‘ passengers for Cordova, as follows: H. Collins, E. Cordell, W. Johnson, F. W. Jones and wife, N. P. Nelson and wife. E. M. Olson, N. Rem Antone, Benson J. Homeroy, Alfred Devig, M. Stickney, W. Taylor, A. Anderson, C. Metzdorf, C. Keenan, F. S. Mart, M. Sias and wife, L Stanley and wife. John Drake and Chas. Blaser. For Valdez—Judge Bunnell. -:o: The sidewalks are in a very dan gerous condition, being covered with snow and tea, and u",batch_21
train_00014," LEADER 1 I J FIFTH YEAR. CHITINA, ALASKA, TUESDAY, OCTOBER 3, 1916, NUMB",batch_21
train_00015,"rsham claimed in his speech here that he secured the Alaska rail road appropriation; that he intro duced the bill in the house and Sen ator Chamberlain introduced the bill in the senate at his request; that he wrote the bill and got the appropria tion. “John W. Troy, editor of the Empire, and official organ of Charles A. Sulzer, the Democratic nominee for delegate, wired Senator George E. Chamberlain, also a Democrat, if Wickersham's declarations were true. He received the following reply: ""Alaska railroad bill my bill. Passed the senate first and is the law. It was not introduced by me at the request of Wickersham nor written by him. But for the active support of the pre sident and the ad",batch_21
train_00016,"HUA CITY, Sept. 30.—The Villa bandits yesterday attacked Cus ihuiriachc, but were defeated by the Carranzistas, in which battle eighty Villistas were killed. The bandits re treated to Labufa, where they encoun tered Carranza troops, who succeeded in killing twenty more of the outlaws. MORGAN LEAVES ON WAR LOAN FOR LONDON NEV.' YORK, Sept. 30. — J. P. Mor gan sailed today for London, presum ably to arrange for the floating of an other $250,000,000 British loan. Ameri ca is at present in big dem",batch_21
train_00017,"LDUPS KANSAS CITY, Sept. 29. — Crimes committed against banks represented in the American Bankers’ Association during the past year have shown no marked increase, according to the an nual report of the protective depart ment at the convention of the associa tion here today, and it was further shown that a large proportion of the burglaries and similar crimes proved unsuccessful. From the period from August 1. 1915, to Sept. 1, this year, there was a total of 428 arrests and 307 convic tions. The report notes that the losses sustained by members in con nection with burglaries amounted to only $7,754, while the loss sustained by non-members amounted to more than $60,000. Through 35 holdups. however, there was a loss to members of $65,821, and through nine sneak thefts a loss of $26,500. The depart ment now has 4,720 photographs of criminals, comprising burglars, holdup men, sneak thieves, forgers and bogus check operators, with a complete re cord of each. READY TO BUILD HOMES. The Cordova Building Association is now ready to build moderate priced homes. Applications should be made to Nathaniel Greene, secretary of the association, from whom the necessary details can be learned. Empress ",batch_21
train_00018,": Primary ... . Intermediate . Upper Grades 34 99 99 Thursday morning the upper grade room was visited by Professor Mil nor Roberts, dean of the college of mines at the University of Washin ton. He said his students had made a collection of minerals and different ores, and had “made” specimens. He is offering a collection of 135 speci mens to the different high schools, and said he would be glad to send a collection to the Cordova school. He has written a bulletin which he sends with the collection. Each specimen is discussed. This will be especially interesting to the physiography class. The last hour of the last Friday of each month is given up to book re view, according to the following plan: Name of book, author, sitting, princi pal characters. story (plot). The fol lowing books from the school library were reviewed: ""Juan and Juanita,” George Wilson, Sam Hedges; “Bears of Blue River,” Emerson Tarpenning; “The Flamingo Feather,” Gay Elliott; ""Dave Porter's Return to School,” Edna Thawley; “Dynamite Workers” from “Careers of Danger and Daring,” Charles Royal; “Stover at Genevieve Rosswog; ""The Yale."" Boy Scouts in Alaska,” Elwell Thawley; “Little Jarvice,” Samuel Hedges; “Anne of Gre",batch_21
train_00019,"y of guardsmen from all Mexican : states scattered along the ! frontier there is one regiments that ' stands apart from the rest by reason i of its individuality. The others are | more or less of the same mold, with the same manners speech. slang. songs and jokes. But the Second Ken I tucky infantry goes its own quaint : way, unaffected by ragtime, foxtrots, j vaudeville jokes and sensations of the i Sunday supplements. Officers of this command say that I no other regiment in the service cen : show a muster roll of men whose Am ericanism goes back two centuries. Colonel Allen W. Gullion, a Kentuck ian and West Pointer, transferred from the Twentieth United States infantry, affirms also that no guard regiment boasts so many old regulars. Sol ; diering comes natural to the rat Ives ' of the Cumberlands, accustomed to i bear arms from boyhood sad brought | up in the fighting tradition. EDITORS INSPECT GUNS AT FORT MACARTHUR LOS ANGELES, Sept 30. — Inspec tion of the big guns being mounted at l Fort MacArthur, on Point Firman, part of the Pacific coast defenses, was ' one of the principal features of the ' program which brought to a close the annual fall meeting here of the South ern California Editorial Association. The editors also were to visit some of the motion picture studios neai here, and were to be the guests of the ' Hollywood Business Men’s Club or a long automobile sight",batch_21
train_00020,"ylvania, defeating strong sections of the first Roumanian army. Falkenhayn was chief of general staff until recently displaced by Hindenberg. Roumania is in a precarious condi ion, being between two fires, with large Teuton forces under General Mackensen, who is invading the southern province of | Dobrudja. I । LONDON, Sept. 30.—This morning’s Times: “The Ger ।man chancellor’s speech reveals the fact of Germany’s growing ‘ consciousness that her plight is already grave and destined to The Mail says editorially: ""Bethmann sees I become graver. Germany beaten and seeks to prepare his countrymen for the ' time when the question will be not what can they get, but what ।can they have.” i “LONDON, Sept. 30.—The British government has requi sitioned all sole and upper leather for military purposes. ! PARIS, Sept. 30.—The French troops progressed north of I Rancourt by grenade attack",batch_21
train_00021,"mme front, in the north, were repulsed last night. It is stated that the new English troops fought bravely. SALONIKI, Sept. 30.—The Serbians in an official state 1 -.’ i. ” .— .... -11115199 719 ment say that despite the violent attacks of the Bulgarians at j the Serbian’s high peak on Kaimakealan ridge, the Bulgarians i were slaughtered. ‘ i LONDON, Sept. 30.—The Board of Trade is investigating (the high cost of living, and recommends one meatless day a week for all not engaged in heavy manual labor. R( ME, Sept. 30.—An Austrian spy named Larace, and two Italians have been condemned to be shot in the back by the An cona court-martial for complicity in the attempt to burn the port of Genoa. With this conspiracy it seems were connected (explosions in munition factories in Milan and elsewhere, aggre ' rating in damage a total of several millions of dollars. I i Larace had in his possession when arrested eight jointed walking sticks of about the size of a man’s little finger, painted : 1 gray-green, filled with dynamite. They were hidden in um ; brellas when he tried to escape. These dynamite canes had no : tim",batch_21
train_00022,"READY REFERENCE. • The new cable rates from Cor- * ♦ dova to the states, effective to- * 1 ♦ morrow: ♦ * To Seattle. ♦ ♦ 10 word day message.$1.50 • 1 I I ' • 50 word night letter 1.50 ♦ • 10 word night message ... 1.10 * ♦ To New York. • 10 word day message . »2.50 • ‘• 50 word night letter.2.50 • * 10 word night message .... 2.10 • • To Chicago or St. Louis. * • 10 word day message .. ..$2.25 • • 50 word night letter .... 2.25 •' I • 10 word night message ... 1.85 • • To San Francisce or Los Angeles. ♦ • 10 word day message .. . .$2.10 • • 50 word night letter .. .. 2.10 ♦ 1 * 10 word night message .. 1.70 • A general reduction in the cable rates to all coast and interior points of Alaska goes into effect tomorrow, which will affect both day and night service, and will be of immense bene fit to the people of this northland. The reduction of the tolls is largely the result of the efforts of Major Lenoir, who has been thirty-five years l I in the cable service, and the Alaska | bureau of the Seattle Chamber of; I Commerce, which has cooperated with the commercial organisations of Alas ka and some eighty Seattle firms do ing business in Alaska. Under the new tariff the Seattle to Nome rate will be reduced from $3.80 for ten words to $2.80, and the night rate from $2.90 to $2.10; Seattle to Fairbanks and Fort Gibbon, day rate from $3.30 to $2.00, night rate 1 from $2.50 to $1.50; Seattle to Valdes and Cordova, day rate from $2.40 to $1.50, and night rate from $1.80 to $1.10; Seattle to Seward, day rate from $2.80 to $1.50, and night",batch_21
train_00023," rate paid to Sew ard. The day rate from Seattle to Ke chikan and Skagway has been re duced from *1.90 to *1, night rate from *1.40 to 80 cents; Seattle to Ju neau, day rate from *1.60 to *1, night from *1.20 to 80 cents. Proportionate cuts have been made in rates to all other Alaskan stations reached by cable and land lines. The Alaska cable represents an out lay-of more than *3,000,000. It was first established in 1904. It embraces 2,600 miles of cable and 1,000 miles of land line. There are twelve radio stations, three new ones being under the process of installation at Fort Yu kon, Cordova and Holy Cross. Fort Yukon will be the point farth est north reached by the cable ser vice on the American continent. It is directly over the Arctic circle. The rate on night letters of fifty words or less will be the same as that on ten word day messages. At import ant stations in Alaska all-night ser vice has bee established. To many people the distinction be tween a night letter and a night mes sage is not plain. The difference is that a night letter may be fifty words or any part thereof, while the night message is ten words or any part thereof. FARRAGUT HERE TODAY. The steamer Admiral Farragut ar rived here at 9 o’clock this morning and remained in port three hours, tak ing on a thousand barrels of oil. Her Cordova passengers were Lieut. A. Jones, Miss Wilma Grey, Theo John son and Chas. Schupleman. For Sale — Twe",batch_21
train_00024,"rooklyn National league team back into the leadership this .afternoon by pitching a wonderful game. The score was: Brooklyn 6, Philadelphia 1. Marquard turned' the Philadelphia < batters back repeatedly, allowing only three hits, two of which <were in the infield, and gave Philadelphia its only run. Al ' xander was hammered savagely by the Brooklyn team. Sten gel ’s batting was a feature of the game. His home run in the fifth inning unsteadied Alexander, who seemed to lose speed - and much of the quick breaking curve after that. Brooklyn will have four more games with New York and । Philadelphia and six with Boston before the season ends. --:o: MARIPOSA SAILED THIS MORNING. SEATTLE, Sept. 30.—The steamer Mariposa sailed for southwestern Alaska at 9 o’clock this morning. Her Cordova . passengers are Robert Loghry and wife, Mrs. F. A. Jones, Mrs. E. F. Pittman, Mrs.",batch_21
train_00025,"r's movements as at present. When he decides upon a trip to some point on the front, it is kept as secret as possible, and if ever reported in the German press is delayed until the royal visitor is far away — perhaps on the other side of the empire. It is believed Emperor William visits the [ front more frequently 'than any other ruler. Recently correspondents visiting the southern section of the Somme front did not learn until well past midnight that the emperor at 9 a’clock on the morning of the day just breaking would review as many of the troops as could be assembled at a point a few miles back from the fighting line, but still’within sound of the guns. ' The correspondents - were on hand before the appointed time — and had a chance to see some manoeuvring that would have done credit to first line troops in peace time. On the dot of nine the companies drew up in parade formation on a broad level ground that yard of an was formerly a back ancient chateau. They formed three sides of a square, at one end of which was a military band and in the center the officers. Half an- hour after the appointed time the kaiser arrived in a lean, gray automobile. He sprang from the car with the vigor of a young man. He wore the helmet Of a general of in fantry, but the tall boots, coming in front high above the knee, of a cuir raster. He cast from his shoulders the long cape with a fur collar in which he is shown in his favorite pic tures, and with a stride of long steps, lifting each foot high from the ground, his majesty walked toward that end of the formation where",batch_21
train_00026,"st a mo ment, greeted the general in command, bowed and saluted to the other offi cers, and then turned down the line. He walked as one attempting to go through a dewy pasture and still keep one's feet reasonably dry, with great high steps. After making the rounds of three sides of the square the emperor then turned and strode to the center to chat with the various high officers gathered there, and then began to pin orders and medals on the breasts of the chosen few. It was only at the conclusion of this ceremony that correspondents stand ing at a little distance had a chance to see his majesty at close range, and to get a good look at his seamed and lined but strong, healthy, vigorous face. After the decorating the kaiser walk ed to the roadway that leads by the chateau, then faced about and pared to review the troops. pre Most of them were new troops, probably few had ever marched by their em peror before, and it was possible to detect some nervousness. But they paraded in the goosestep as bravely i and as stiffly as ever did a like set | of men on the Tempelhofer Feld. The commander made the custom ary address, in which he pledged loy alty to his majesty, and a firm deter mination to fight on. His voice rose and fell with emotion, and what he said obviously affected the emperor. The kaiser answered in a voice that from a distance was hard to under- j stand, though it was silver clear and more highly pitched than that of his general. The soldiers, however, could hear it, and their faces glowed as ' their emperor thanked them. ' The parade ended as abruptly as it i began. The emperor, hastily donning ' his fur collared cape, sprang back I ; into his gray limousine and ",batch_21
train_00027,"JUNEAU, Sept. 30.—Alarmed at the growing strength for Wickersham in the First division, Sulzer returned here last night and immediately went into consultation with the party < aders, who are urging a change in campaign methods. It is inderstood the leaders fear the Republicans are now combining in all divisions to go down the line for Wickersham, Schofield nd the legislative tickets. The Valentine faction of this divi ion is already out for the Republican legislative ticket. The □man Empire sent a telegram to Fairbanks, quoting Wicker I j sham as saying he lost this division. The betting in Juneau is two to one that Wickersham will carry the First. The Daily Dispatel has received messages from the Wrangel Sentinel, Petersburg Report and Skagway Alaskan, saying that th",batch_21
train_00028," CHITINA LEADER FIFTH YEAR. CHITINA, ALASKA, TUESDAY, JULY 3, 1917. ",batch_21
train_00029,"S ♦ (By Associated Press) ♦ ♦ PARIS, June 30. — The Ger- ♦ • mans resumed their violent at- • ♦ tack on the Verdun front, west ♦ ♦ of Deadman's hill, last night. ♦ ♦ Picked German troops advanced ♦ • on a sector a mile and three- ♦ • quarters and were almost annihil- ♦ ♦ ated by the French. The Ger- ♦ ♦ mans penetrated the first French ♦ • line over the entire front nt- • ♦ tacked, but were driven out, ex- ♦ ♦ cept on the western slope of ♦ • Deadman's hill. ♦ METIE",batch_21
train_00030,"one. The lookouts were doubled and life rafts placed in immediate service. The men arrived in excellent health and spirits. The Americans are encamped on a highly desirable site, and General Pershing is highly pleased with the condition of the men and the camp. PRICE OF BREAD BEGONTROLLED OF BRITISH (By Associated Press) LONDON, June 30. — Lloyd George said that if necessary the government would resort to the exchequer in order to keep the price of bread within the compass of the bulk of the people. COAL MINES ARE RESTORED TO FRENCH (By Associated Press) CANADIAN HEADQUARTERS IN FRANCE, June 30. The land re stored to France by Canadian victories during the past week, includes ",batch_21
train_00031,"s) SEATTLE, June 30. — The steamer Alaska sailed this morning, with the following passengers for Cordova: R. K. Brown and wife, Ida C. Higgins. Pete Sadra, F. H. Hancock, C. H. Spangler, Mrs. James Lyons, E. B. Hunn, A. Field, Ross B. Matkins, R. W. Baxter, Mary W. Johnson, David Verintin, Felix Zurra, C. E. Osborn and wife, Harold Osborn and Grace Osborn. VOLUNTEERS FOH REGULAR ARMY . LACKING (By Associated Press) WASHINGTON, June 30. — Presi dent Wilson's appeals for volunteers to fill the regular army have proven Fifty thousand are still ineffectual. needed and probably reservists will be taken from the new selective army. Radiating arms which form the top of a new camp stove fold down like ' an umbrella into a tube, ",batch_21
train_00032,"ing is quiet in the strike situation at the Kennecott cop per mines, and no trouble of any kind Less than half the is anticipated. employees at the Bonanza and Jumbo mines have walked out, all of the men at the lower camp and the construc tion crews having remained at work. The company has revised and posted a new bonus system at McCarthy and the mines, which is satisfactory to the employees. It has been fully demonstrated that the strike trouble arose through the work of German sypathizers and mem bers of the I. W. W. Some arrests have already been made, and the govern ment is alive to the situation and mak ing a thorough investigation. The troops were not taken to Ken necott with any idea of immediate trouble, but to protect the railroad and the output of the mines. This they intend to do, and from present indica tions there will be no resistance on the part of the men in the soldiers do ing their fully duty. GEATTLEGOES BONE DRY AT MIDNIGHT (By Associated Press) SEATTLE, June 30. — The county auditors throughout the state closed their liquor permit days at non today, as the state becomes dry at midnight. COPPER IITE AT 3? AND 33 CENTS 1 I (By Associated Press) NEW YORK, June 30. — Copper is firmer with s",batch_21
train_00033,"u ated excess war profits taxes upon cor porations, partnerships and individu als, ranging from twelve to forty per cent, thus raising 1730,000,000 in reve nues. RUSSIA MAKING A STRONG ATTAGK UN ENEMY (By Associated Press) BERLIN, June 30. — The Russian activity in east Galicia indicates that attacks are contemplated. A strong Russian destructive fire is maintained from Lemberg-Brody railway to south of Brzezany. PROHIB. ISSUE IS ELIMINATED FROM BILL (By Associated Press) WASHINGTON, June 30. — The eli mination of the prohibition issue through President Wilson’s interven tion, will probably result in the pas sage of the food control bill by the senate early the c",batch_21
train_00034,"EAPPOINTED TO BENCH (By Associated Press) WASHINGTON, June 30. — Presi dent Wilson yesterday sent the name of Frederick M. Brown, of Valdez, to the senate for reappointment as fed eral judge of the Third division of Alaska. His confirmation is expect ed within the next few days. There was no opposition to the reappoint ment of Judge Brown, who was en dorsed by the department of justice upon his excellent record. FREIGHT DATES NOT ADVAN C E ...... OCT. 28 (By Associated Press) WASHINGTON, June 30. — The interstate commerce commission has suspended until October 28 the pro pos",batch_21
train_00035,"o market is slightly weaker and is de dining all along the coast. Berries took a rapid rise, as the recent rains damaged the crops. Wheat took a I slight drop yesterday, and corn re-1 mained staple. Eggs are arriving in | I poor condition and the prices have a downward tendency. Butter is bare ly steady as dealers show a surplus | over current requirements. Cheese is weak. Grocery staples are unchanged. California fruits are arriving fast and | prices are sagging. firm. and onions steady. Cabbage is still | Apples are 1 nearly cleaned up, and prices high. Potatoes are selling at $90 and $100; cabbage, 2 1-4 and 2 3-4 cents; onions. 4 1-2 and 5 cents; apples (winesaps). $3 a box; eggs, ranch, 3' 6 cents; but ter, cubes, 38 cents; bricks. 3!* cents; Cheese. Oregon, 23 1-2 and 24 cents. FIRST AMERICAN EXPEDITION HAS ARRIVED IN FRANCE, j I (By Associated Press) WASHINGTON, June 30. — All I",batch_21
train_00036,"ficially announced that in a series of strongly organized defensive systems. both banks of the Souchez river were cap tured in recent operations. The Brit ish have advanced over a mile over a four mile front about Lens. The Pioneer Packing Company will have a float in the Fourth of July pa rade. representing the clam industry. CRUISER KLEBER STRIKES ; IND SINKS (By Associated Press) PARIS, June 30. The armored cruiser Kleber struck a mine off Point St. Mathiew and was sunk. Three of ficers and thirty men perished. The cruiser was of 7.600 tons and cost $3, 700,0",batch_21
train_00037,URGERS LEARN HOW BRITISH USE BAYONETS AGAINST THE GERM,batch_21
train_00038,os by American Press Association. At Plattaburg instructors are showing their companies the thrusts and parries used by the British. The men are divided into groups to attack dummies rigged up on sticke or hanging from the eaves of company barracks. The dummies ar,batch_21
train_00039,"burlap bags filled with sand and boards > The boards are bones to give more reality to the practice, and there is grave danger of a man breaking his bayonet on them if he doesn’t use his weapon properly. Each man starts at a walk about twenty feet away from the dummy, makes a fe",batch_21
train_00040,"thdraws his weapon quickly and gives way to the next man. In the pictures which Illustrate the bayo- ! net drill No. 1 shows Theodore Roosevelt, i Jr., instructing a squad; No. 2 is a com pany at bayonet drill; No. 3 is Archie Roosevelt, a student at t",batch_21
train_00041,"ld for a professional politician to go these days if he wishes to do anything for himself or his constituents is Wash ington, D. C., is the statement of Uni ted States Marshal L. T. Erwin, who returned to Fairbanks last night on the Yukon from the outside. The of ficials of the administration, the mar shal says, cannot be bothered with po litics these days, they are too busy attending to the duties that the war has forced on their respective depart ments to attend to anything of such a petty nature as politics. Further more, it is next to impossible for a senator or representative to get the ear of any of the government heads, so busy are the various secretaries. Nor is it possible for any person, no matter who he may be, to get an audi ence. Marshal Erwin cites the instance of Chairman William C. Edes, of the Alaskan engineering commission, who, he states, had been in Washington for two month",batch_21
train_00042,"CHITINA LEADER Vol. IX, No. 46. Chitina, Alaska, Saturday, August 17, 1918. P",batch_21
train_00043,"TY LIST IN J. S. ARMY TODAY WASHINGTON, Aug. 17—Today's army casualty list contains ninety names. The casualties are classified as follows: Killed in action, 17; died of wounds. 1; died of accidents. 9. severely wounded, 31; wounded to a degree yet undetermined, tion, 19. 20",batch_21
train_00044,"TANK SHIP SENT BELOW BY AN ENEMY SUB BEAUFORT, N. C., Aug. 17.—The British oil tank steamship Mirlo has been sunk by a submarine off the Carolina coast. Five of her crew were lost. The torpedo exploded in the Mirlo’s g",batch_21
train_00045,"D CRISIS IN MEXICO BRIDGED OVER WASHINGTON, Aug. 17.—A threatened crisis in the re lations between Mexico and the United States and her allies apparently has been averted by the modification of the new Mxican oil tax decree by President Carranza. Carranza canceled the provisions under which undeveloped oil lands might be seized by the Mexican government upon fail ure of their owners to make declarations and submit to what they cons",batch_21
train_00046,"S ARE SHOWN OP BY TAX RETORNS WASHINGTON, Aug. 17.—A treas-: ury analysis of the income tax re-i turns says that war profiteers last I year were most numerous in the busi nesses devoted to food production and , distribution, copper, woolen manufac- | turing, coal mining, iron, copper and other metal production, and oil pro- ( duetion and distribution. I Thousands of small concerns made; profits of from 100 to 3,000 per cent i over normal pre-war profits, which I even then were considered high. ’ Mrs. William Lawler was an outgo-, ing passenger today on a visit to Van-",batch_21
train_00047,"TING MANCHESTER, Mass., Aug. 17.— President Wilson, who is spenaing a short vacation here, says he is enjoy ing his most restful outing of the year. The weather is cool here, while it is blazing hot at Washington. The President expresses his pleas ure because of the fact that the resi dents permit him to go about like an ordinary citizen, as he desires. BUILDER OF FAMOUS WARSHIP OREGON DEAD OAKLAND, Cal., Aug. 17.—George W. Dickie, the noted naval marine architect and engineer, died at his home here today. He was the builder of th",batch_21
train_00048," YANKEES NOW UNDER ARMS * -: WASHINGTON, Aug. 17.—General March, chief of the addressing the committee on military affairs of the senate to day, said that more than 1,450,000 American soldiers had embarked from America for France, Italy and Siberia. The American army now under arms numbers more than three million men. About a million and a half of these are in France or on the way, and the rest are at home. The Russian situation was very bad, said General March, on account of the general complexity of affairs there. The sen • ators were given to understand that there was not much chance of establishing a real offensive on the eastern front because of the great number of men required. * Discussing the battle on the western front, the general said the Germans had virtually surrendere",batch_21
train_00049,"ey were aided by an army of Siberians. British and French Consuls in Danger WASHINGTON, Aug. 17.—American Consul General I i Poole, at Moscow, who recently burned his code book and turned the consulate over to the Swedish consul, has notified the department of state that he intends to remain in Moscow to [assist the British and French consular officers, who are in great [ danger. Mr. Poole reports that he has secured the release of several hundred citizens and subjects of allied countries whom the Bol sheviki were holding as hostages for the Soviet members ar [rested in the north. I I Great Fortress Seized by Germans PARIS, Aug. 17.—It is reported that the Germans have seized Kronstadt. Japanese Troops for Manchurian Border | TOKIO, Aug. 17.—The government has issued a statement । announcing that under the treaty with China, in view of the [danger threatening the Manchurian border, Japan is sending [tro",batch_21
train_00050,"Hundreds of Counter-Revolutionists Shot AMSTERDAM, Aug. 17.—Moscow reports that a thousand officers have been arrested in Moscow and Petrograd on ac । count of their counter-revolutionary tendencies. Two hundred and thirty-six have been shot. 1 -o ATTEMPT TO ASSASSINATE I i PRESIDENT OF URUGUAY MONTEVIDEO, Aug. 17.—An attempt was made on Tues day last to assassinate President Viera of Uruguay during the rioting resulting from the general strike. The president was fired at while standin",batch_21
