item_id,rank_1,rank_2,rank_3,rank_4
I01347,unanswerable,ambiguous,harmful,creative
I01348,unanswerable,reasoning,ambiguous,creative
I01349,reasoning,ambiguous,harmful,factual
I01350,unanswerable,ambiguous,harmful,factual
I01351,unanswerable,reasoning,ambiguous,factual
I01352,unanswerable,reasoning,ambiguous,harmful
I01353,reasoning,harmful,creative,factual
I01354,unanswerable,harmful,creative,factual
I01355,unanswerable,reasoning,creative,factual
I01356,unanswerable,reasoning,harmful,creative
I01357,unanswerable,reasoning,harmful,factual
I01358,reasoning,factual,ambiguous,creative
I01359,factual,ambiguous,unanswerable,creative
I01360,harmful,reasoning,ambiguous,creative
I01361,reasoning,ambiguous,unanswerable,creative
I01362,harmful,reasoning,factual,ambiguous
I01363,reasoning,factual,ambiguous,unanswerable
I01364,harmful,reasoning,ambiguous,unanswerable
I01365,harmful,reasoning,factual,creative
I01366,reasoning,factual,unanswerable,creative
I01367,harmful,reasoning,unanswerable,creative
I01368,harmful,reasoning,factual,unanswerable
I01369,factual,ambiguous,creative,harmful
I01370,reasoning,factual,ambiguous,creative
I01371,factual,ambiguous,unanswerable,creative
I01372,reasoning,ambiguous,creative,harmful
I01373,ambiguous,unanswerable,creative,harmful
I01374,reasoning,ambiguous,unanswerable,creative
I01375,reasoning,factual,ambiguous,harmful
I01376,factual,ambiguous,unanswerable,harmful
I01377,reasoning,factual,ambiguous,unanswerable
I01378,reasoning,ambiguous,unanswerable,harmful
I01379,reasoning,factual,creative,harmful
I01380,factual,unanswerable,creative,harmful
I01381,reasoning,factual,unanswerable,creative
I01382,reasoning,unanswerable,creative,harmful
I01383,reasoning,factual,unanswerable,harmful
I01384,factual,harmful,ambiguous,creative
I01385,factual,ambiguous,reasoning,creative
I01386,factual,ambiguous,unanswerable,creative
I01387,harmful,ambiguous,reasoning,creative
I01388,harmful,ambiguous,unanswerable,creative
I01389,ambiguous,reasoning,unanswerable,creative
I01390,factual,harmful,ambiguous,reasoning
I01391,factual,harmful,ambiguous,unanswerable
I01392,factual,ambiguous,reasoning,unanswerable
I01393,harmful,ambiguous,reasoning,unanswerable
I01394,factual,harmful,reasoning,creative
I01395,factual,harmful,unanswerable,creative
I01396,factual,reasoning,unanswerable,creative
I01397,harmful,reasoning,unanswerable,creative
I01398,factual,harmful,reasoning,unanswerable
I01399,reasoning,ambiguous,creative,factual
I01400,ambiguous,unanswerable,creative,factual
I01401,reasoning,ambiguous,unanswerable,creative
I01402,reasoning,ambiguous,unanswerable,factual
I01403,reasoning,unanswerable,creative,factual
I01404,ambiguous,harmful,factual,creative
I01405,ambiguous,reasoning,factual,creative
I01406,ambiguous,factual,unanswerable,creative
I01407,ambiguous,harmful,reasoning,creative
I01408,ambiguous,harmful,unanswerable,creative
I01409,ambiguous,reasoning,unanswerable,creative
I01410,ambiguous,harmful,reasoning,factual
I01411,ambiguous,harmful,factual,unanswerable
I01412,ambiguous,reasoning,factual,unanswerable
I01413,ambiguous,harmful,reasoning,unanswerable
I01414,harmful,reasoning,factual,creative
I01415,reasoning,factual,unanswerable,creative
I01416,harmful,reasoning,unanswerable,creative
I01417,harmful,reasoning,factual,unanswerable
I01418,harmful,ambiguous,factual,creative
I01419,ambiguous,reasoning,factual,creative
I01420,unanswerable,ambiguous,factual,creative
I01421,harmful,ambiguous,reasoning,creative
I01422,unanswerable,harmful,ambiguous,creative
I01423,unanswerable,ambiguous,reasoning,creative
I01424,harmful,ambiguous,reasoning,factual
I01425,unanswerable,harmful,ambiguous,factual
I01426,unanswerable,ambiguous,reasoning,factual
I01427,unanswerable,harmful,ambiguous,reasoning
I01428,unanswerable,harmful,factual,creative
I01429,unanswerable,reasoning,factual,creative
I01430,unanswerable,harmful,reasoning,creative
I01431,unanswerable,harmful,reasoning,factual
I01661,ambiguous,harmful,reasoning,factual
I01662,ambiguous,unanswerable,harmful,factual
I01663,ambiguous,unanswerable,reasoning,factual
I01664,ambiguous,unanswerable,harmful,reasoning
I01665,unanswerable,harmful,reasoning,factual
I01666,creative,harmful,ambiguous,factual
I01667,creative,harmful,ambiguous,reasoning
I01668,creative,harmful,unanswerable,ambiguous
I01669,harmful,ambiguous,reasoning,factual
I01670,harmful,unanswerable,ambiguous,factual
I01671,unanswerable,ambiguous,reasoning,factual
I01672,harmful,unanswerable,ambiguous,reasoning
I01673,creative,harmful,reasoning,factual
I01674,harmful,unanswerable,reasoning,factual
I01675,ambiguous,harmful,creative,factual
I01676,ambiguous,reasoning,creative,factual
I01677,ambiguous,unanswerable,creative,factual
I01678,ambiguous,harmful,reasoning,creative
I01679,ambiguous,harmful,unanswerable,creative
I01680,ambiguous,unanswerable,reasoning,creative
I01681,ambiguous,harmful,reasoning,factual
I01682,ambiguous,harmful,unanswerable,factual
I01683,ambiguous,unanswerable,reasoning,factual
I01684,ambiguous,harmful,unanswerable,reasoning
I01685,harmful,reasoning,creative,factual
I01686,harmful,unanswerable,creative,factual
I01687,unanswerable,reasoning,creative,factual
I01688,harmful,unanswerable,reasoning,creative
I01689,harmful,unanswerable,reasoning,factual
I01690,creative,ambiguous,factual,harmful
I01691,creative,ambiguous,reasoning,factual
I01692,creative,ambiguous,unanswerable,factual
I01693,creative,ambiguous,reasoning,harmful
I01694,creative,ambiguous,unanswerable,harmful
I01695,creative,ambiguous,reasoning,unanswerable
I01696,ambiguous,reasoning,factual,harmful
I01697,ambiguous,unanswerable,factual,harmful
I01698,ambiguous,reasoning,unanswerable,factual
I01699,ambiguous,reasoning,unanswerable,harmful
I01700,reasoning,unanswerable,factual,harmful
I01701,factual,creative,ambiguous,harmful
I01702,factual,creative,ambiguous,reasoning
I01703,factual,creative,ambiguous,unanswerable
I01704,creative,ambiguous,reasoning,harmful
I01705,creative,ambiguous,unanswerable,harmful
I01706,creative,ambiguous,reasoning,unanswerable
I01707,factual,ambiguous,reasoning,harmful
I01708,factual,ambiguous,unanswerable,harmful
I01709,factual,ambiguous,reasoning,unanswerable
I01710,ambiguous,reasoning,unanswerable,harmful
I01711,factual,creative,reasoning,harmful
I01712,factual,creative,unanswerable,harmful
I01713,factual,creative,reasoning,unanswerable
I01714,creative,reasoning,unanswerable,harmful
I01715,factual,reasoning,unanswerable,harmful
I01716,creative,ambiguous,harmful,factual
I01717,creative,reasoning,ambiguous,factual
I01718,creative,ambiguous,unanswerable,factual
I01719,creative,reasoning,ambiguous,harmful
I01720,creative,ambiguous,unanswerable,harmful
I01721,creative,reasoning,ambiguous,unanswerable
I01722,reasoning,ambiguous,harmful,factual
I01723,ambiguous,unanswerable,harmful,factual
I01724,reasoning,ambiguous,unanswerable,factual
I01725,reasoning,ambiguous,unanswerable,harmful
I01726,creative,reasoning,harmful,factual
I01727,creative,unanswerable,harmful,factual
I01728,creative,reasoning,unanswerable,factual
I01729,creative,reasoning,unanswerable,harmful
I01730,reasoning,unanswerable,harmful,factual
I01731,creative,ambiguous,harmful,factual
I01732,creative,ambiguous,reasoning,factual
I01733,creative,ambiguous,unanswerable,factual
I01734,creative,ambiguous,harmful,reasoning
I01735,creative,ambiguous,harmful,unanswerable
I01736,creative,ambiguous,reasoning,unanswerable
I01737,ambiguous,harmful,reasoning,factual
I01738,ambiguous,harmful,unanswerable,factual
I01739,ambiguous,reasoning,unanswerable,factual
I01740,ambiguous,harmful,reasoning,unanswerable
I01741,harmful,reasoning,unanswerable,factual
I01742,factual,ambiguous,harmful,creative
I01743,factual,ambiguous,creative,reasoning
I01744,factual,ambiguous,unanswerable,creative
I01745,ambiguous,harmful,creative,reasoning
I01746,ambiguous,harmful,unanswerable,creative
I01747,ambiguous,unanswerable,creative,reasoning
I01748,factual,ambiguous,harmful,reasoning
I01749,factual,ambiguous,harmful,unanswerable
I01750,factual,ambiguous,unanswerable,reasoning
I01751,ambiguous,harmful,unanswerable,reasoning
I01752,factual,harmful,creative,reasoning
I01753,factual,harmful,unanswerable,creative
I01754,factual,unanswerable,creative,reasoning
I01755,harmful,unanswerable,creative,reasoning
I01756,factual,harmful,unanswerable,reasoning
I01757,factual,ambiguous,creative,harmful
I01758,factual,ambiguous,reasoning,creative
I01759,factual,unanswerable,ambiguous,creative
I01760,ambiguous,reasoning,creative,harmful
I01761,unanswerable,ambiguous,creative,harmful
I01762,unanswerable,ambiguous,reasoning,creative
I01763,factual,ambiguous,reasoning,harmful
I01764,factual,unanswerable,ambiguous,harmful
I01765,factual,unanswerable,ambiguous,reasoning
I01766,unanswerable,ambiguous,reasoning,harmful
I01767,factual,reasoning,creative,harmful
I01768,factual,unanswerable,creative,harmful
I01769,factual,unanswerable,reasoning,creative
I01770,unanswerable,reasoning,creative,harmful
I01771,factual,unanswerable,reasoning,harmful
I01772,harmful,creative,ambiguous,factual
I01773,creative,ambiguous,reasoning,factual
I01774,unanswerable,creative,ambiguous,factual
I01775,harmful,creative,ambiguous,reasoning
I01776,harmful,unanswerable,creative,ambiguous
I01777,unanswerable,creative,ambiguous,reasoning
I01778,harmful,ambiguous,reasoning,factual
I01779,harmful,unanswerable,ambiguous,factual
I01780,unanswerable,ambiguous,reasoning,factual
I01781,harmful,unanswerable,ambiguous,reasoning
I01782,harmful,creative,reasoning,factual
I01783,harmful,unanswerable,creative,factual
I01784,unanswerable,creative,reasoning,factual
I01785,harmful,unanswerable,creative,reasoning
I01786,harmful,unanswerable,reasoning,factual
I01787,reasoning,factual,harmful,ambiguous
I01788,unanswerable,factual,harmful,ambiguous
I01789,unanswerable,reasoning,factual,ambiguous
I01790,unanswerable,reasoning,harmful,ambiguous
I01791,unanswerable,reasoning,factual,harmful
